date,high,low,open,close,volume
2019-07-22,97.2000,66.3000,91.3000,74.9200,58330685
2019-07-23,78.8800,70.0000,70.0200,74.1300,23906020
2019-07-24,76.5500,72.5000,74.1300,75.8800,21608530
2019-07-25,79.9800,74.6000,75.0000,78.0000,24626920
2019-07-26,76.7800,70.3000,76.7800,71.6800,16831530
2019-07-29,74.9000,70.9000,71.0000,74.5800,15233656
2019-07-30,75.9000,72.3000,74.4000,75.1000,15434911
2019-07-31,78.5000,74.4800,74.9800,77.2700,18836308
2019-08-01,80.5000,75.6000,76.0100,79.8000,20986740
2019-08-02,89.1400,77.6200,78.0000,83.8700,31803531
2019-08-05,85.9100,79.3000,84.5000,85.6600,24370858
2019-08-06,89.9500,73.8000,84.0000,78.7000,28829476
2019-08-07,81.5000,75.3300,80.2500,79.1300,16459262
2019-08-08,83.8900,78.0300,79.3000,78.4900,15390115
2019-08-09,79.0000,74.7000,79.0000,74.8300,13224224
2019-08-12,75.3000,71.7100,74.5000,73.3000,9888454
2019-08-13,74.4200,72.3600,72.9000,73.9900,8085744
2019-08-14,75.9700,74.0000,74.8500,74.4100,8136375
2019-08-15,74.4200,72.0100,72.4000,74.1100,6344409
2019-08-16,75.4900,73.6700,74.6600,74.1800,5962029
2019-08-19,76.4600,73.5200,74.6000,75.7600,9084341
2019-08-20,76.3900,74.6900,75.7000,74.9800,5811733
2019-08-21,74.8800,70.1300,74.6900,70.7000,10486912
2019-08-22,72.5500,70.0100,70.7500,70.8500,5979728
2019-08-23,71.3200,66.6600,70.9900,67.3400,10253197
2019-08-26,68.3900,66.7500,66.7500,68.0000,4618014
2019-08-27,69.5000,67.8200,68.6200,69.0600,5364052
2019-08-28,69.6500,67.6100,68.8000,67.9600,4318428
2019-08-29,71.3300,67.0000,67.9700,70.6900,8940314
2019-08-30,71.1000,69.1900,71.0000,69.2800,6456719
2019-09-02,70.6500,68.4500,70.0000,70.2000,5085739
2019-09-03,75.8600,69.6700,69.8300,74.3900,11570311
2019-09-04,75.7500,73.2500,74.0000,73.9300,6592636
2019-09-05,76.0600,73.4700,74.2400,74.4100,7574412
2019-09-06,75.8600,71.7700,74.7400,72.1000,6504305
