,sma_fast,sma_slow,annual_return
0,2,74,24.340642519236784
1,2,75,24.27282485261688
2,2,76,24.093363819374087
3,2,73,23.97193760863872
4,2,77,23.62029135782517
5,2,72,23.23303248016021
6,2,79,23.105390505554315
7,2,69,23.01017942442172
8,3,68,22.95684377264639
9,3,69,22.7895714205837
10,2,78,22.78166479375072
11,1,72,22.771224448762485
12,2,80,22.54167473540925
13,3,70,22.5318272813714
14,2,68,22.368170108350583
15,3,65,22.344297594302876
16,2,25,22.32619692941809
17,2,71,22.30988618439256
18,1,71,22.288553047808524
19,2,70,22.27642368101691
20,1,76,22.257194603391326
21,2,84,22.183704126350083
22,3,71,22.175211049317376
23,3,67,22.11273722470003
24,2,83,22.038227721170053
25,10,79,22.01910856982432
26,1,70,22.018787107683828
27,20,129,21.98543381819851
28,1,69,21.966999255714867
29,2,67,21.953246090271996
30,10,77,21.95324296654759
31,2,66,21.94567942016727
32,1,68,21.9255504292131
33,1,73,21.92354678844904
34,4,77,21.88789542764469
35,1,75,21.88628597109588
36,4,65,21.873152092932894
37,3,66,21.84813444752304
38,23,135,21.81827401776647
39,15,60,21.76630639810391
40,15,121,21.73740700505565
41,10,78,21.729587094346492
42,20,130,21.700382007584835
43,2,81,21.59303595577177
44,9,79,21.551610205092462
45,19,131,21.546747441854272
46,10,76,21.53403322692797
47,10,75,21.46353320698949
48,2,65,21.454080208521585
49,21,131,21.38606386550704
