,sma_fast,sma_slow,annual_return
0,28,13,47.70096039775164
1,29,12,44.42981424202459
2,29,13,43.471118350357166
3,28,12,40.25324820954295
4,26,14,40.068523911653095
5,28,11,38.39611056810035
6,29,11,37.72589528233672
7,27,12,37.3929064444846
8,25,18,35.75551448168737
9,25,14,35.31158262140035
10,27,11,34.21776941872843
11,26,12,34.213484036867406
12,26,18,34.21086383297394
13,26,13,33.932673613372934
14,24,14,32.647020978975085
15,28,18,32.48426662924608
16,28,19,32.39387753140772
17,23,14,32.03917671154793
18,25,12,31.77625007502012
19,26,17,31.37475791581999
20,24,18,31.278575757620075
21,29,17,31.1090249711784
22,28,10,30.954914528270823
23,26,11,30.682405039769957
24,25,13,30.520755335638288
25,22,14,30.367943365069205
26,28,17,30.301575542644848
27,23,21,30.028138815065823
28,29,10,29.85714864628799
29,24,17,29.59757093199488
30,24,19,29.344087835030717
31,27,10,29.12719185096265
32,29,18,28.99335557187948
33,25,17,28.90206837455685
34,23,18,28.8708746972176
35,27,18,28.848963337999397
36,29,20,28.792882545746075
37,22,21,28.76252063543095
38,29,19,28.56334853210969
39,26,10,28.375646825016588
40,27,16,27.57266440417628
41,28,23,27.260167138488367
42,22,15,27.12996654470694
43,27,17,26.76436169081467
44,26,19,26.60439910232244
45,26,16,26.57460434811757
46,24,11,25.992498857022305
47,23,19,25.966654136758915
48,25,11,25.92023825597663
49,25,19,25.64137511707113
