,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,19,17,4,21.19313290828609,3.081785196245275,87
1,16,59,35,19.38030544078656,1.6155596835160373,19
2,19,57,32,19.12254170993145,1.601303938318693,20
3,16,23,19,19.103372759380026,1.4550056524579869,42
4,18,59,32,19.09669229259221,1.5990488552927933,20
5,11,10,25,19.03004001155112,2.816407228050331,65
6,17,58,34,18.976555755311303,1.5917748818090671,20
7,16,19,23,18.96245177983932,1.4318739866023096,42
8,14,11,3,18.82344926926728,2.429266306696636,122
9,15,21,22,18.811531319369116,1.418234576541904,42
10,19,59,31,18.716818992882903,1.581931137320829,20
11,11,10,26,18.67384841146255,2.7344934809254844,66
12,13,11,3,18.67124576135192,2.058579587407904,128
13,19,59,30,18.637674577943116,1.5802213313150697,22
14,15,22,21,18.552089427097336,1.4062956559837616,42
15,12,10,3,18.449309405605028,2.140196547656226,136
16,15,10,3,18.41626258911442,2.1728210837163267,124
17,19,55,33,18.412661444860863,1.5666772253698469,20
18,18,59,31,18.37023985569883,1.5713924023667545,22
19,19,18,3,18.35408551075406,2.328281299200408,104
20,19,56,33,18.26674479339989,1.5683858221980558,20
21,18,58,32,18.213262330597004,1.5583329675603754,22
22,19,58,32,18.1841018216146,1.564308253930469,20
23,18,58,33,18.14648643185688,1.553625534438155,20
24,17,59,33,18.1241956282086,1.5474717446802717,21
25,18,19,20,18.06300044388422,1.5046352151868794,43
26,18,20,19,18.06300044388422,1.5046352151868794,43
27,19,20,18,18.06300044388422,1.5046352151868794,43
28,19,18,4,18.001109869974858,2.576616439569825,83
29,17,23,19,17.986390501099795,1.4347305209965888,41
30,17,23,18,17.980500098837613,1.4168400240566523,42
31,14,10,3,17.97389512185908,1.991620751527592,129
32,17,21,21,17.955163479526938,1.4365718086924684,41
33,11,10,27,17.889970982015203,2.6507943212970675,66
34,16,59,36,17.882553461145683,1.551542234269942,19
35,19,58,30,17.876896963567276,1.572098743469902,22
36,19,58,31,17.876798791664548,1.535996048654562,21
37,19,57,33,17.83797022346379,1.5482321874238263,20
38,18,16,5,17.832220314811,2.684698859482076,81
39,19,55,34,17.830959030808337,1.5459121865469378,20
40,17,22,20,17.824360421523316,1.4296278200068928,41
41,17,20,22,17.824360421523316,1.4296278200068928,41
42,18,59,33,17.822375533004372,1.54588242152466,20
43,13,27,22,17.8035412337589,1.4299467964547576,43
44,17,59,34,17.7856650614257,1.5220735276136066,20
45,18,19,22,17.751993152569582,1.4251447642545596,41
46,16,21,21,17.738993300735988,1.4036757788489933,42
47,16,22,20,17.738993300735988,1.4036757788489933,42
48,14,24,23,17.699647959568594,1.4156125192481417,42
49,14,25,22,17.699647959568594,1.4156125192481417,42
