,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,2,31,24,14.937455553864046,1.7357479132414966,101
1,19,12,5,14.743503693420973,2.051223502846632,97
2,13,12,6,14.676397980224548,1.4605279574603207,107
3,2,31,25,14.507383569090344,1.6683390409271288,102
4,2,30,25,14.460323533155044,1.6502522049560406,101
5,11,10,9,14.45412638427443,1.4972048235697162,96
6,2,32,24,14.341891059155348,1.638581164261232,102
7,18,50,3,14.323004228505212,1.953543969288944,82
8,2,32,23,14.318008996989448,1.658196431019948,103
9,14,11,6,14.002225591847854,1.3756774388908104,107
10,15,10,6,13.994546776319911,1.5124072297410596,106
11,2,29,26,13.97301255873682,1.610030558410844,101
12,1,20,14,13.853499572481107,1.4063255403400448,181
13,1,19,16,13.837501452443654,1.3870638872737018,177
14,1,18,17,13.827280003018371,1.386310018262194,177
15,2,28,27,13.740601818716952,1.5813923827785052,101
16,19,17,4,13.735416655479348,1.9956253169304812,92
17,17,58,3,13.713089964251296,1.988499503738809,83
18,18,52,3,13.628570393890977,1.90343498517518,83
19,2,31,21,13.616525473198044,1.5942721569727576,102
20,19,18,4,13.609313452583963,1.947582613278988,90
21,1,16,19,13.571115035083576,1.3627436764477063,177
22,1,30,38,13.562542557914202,1.594175938698437,113
23,1,17,18,13.560897145529768,1.3619779546365305,177
24,14,53,4,13.560286755499806,1.7796628707232478,77
25,2,30,26,13.547673039848767,1.6235588036422268,103
26,2,30,13,13.533652607763166,1.568968974573343,123
27,2,33,23,13.497266089402489,1.6196732656008244,102
28,2,29,25,13.451043754332792,1.5696277069362887,105
29,19,10,5,13.383327752476552,1.811821275610608,105
30,2,44,18,13.375102087561253,1.6610080949506094,105
31,13,11,6,13.36450214880962,1.5127491530726156,106
32,17,59,3,13.360659722698772,1.9891695747900768,82
33,2,27,28,13.35976316875946,1.55557304869115,101
34,2,26,29,13.35976316875946,1.55557304869115,101
35,1,31,37,13.347375944612203,1.5695439906499409,111
36,2,38,20,13.315548253492524,1.6078033800335727,104
37,1,31,38,13.298079382070071,1.5652574800874273,110
38,17,56,3,13.281767422717506,1.8634503790865315,84
39,17,57,3,13.26264899552212,1.8610401331764352,84
40,2,30,24,13.244402973344815,1.5359496282820475,104
41,2,45,18,13.233106581341616,1.6433222000980583,105
42,2,28,26,13.21969136937546,1.5402137472905046,105
43,1,29,39,13.216504617888653,1.5053384011810078,116
44,2,31,27,13.203381329043289,1.593041222134052,98
45,2,27,27,13.202006383061166,1.556957434107785,104
46,2,28,13,13.184568313704222,1.5309555671803194,120
47,18,48,3,13.168831092489668,1.7326034947613886,84
48,16,58,3,13.154748298806355,1.8711128515363853,84
49,2,31,26,13.152562843586873,1.579733058109966,101
