,ema_fast,ema_slow,annual_return,sqn,trades
0,1,10,21.04693298482409,0.6653060818228117,79
1,1,11,-6.672185482810702,-1.2617380905920466,78
2,1,12,-7.6326500583802135,-1.35564001129145,76
3,1,13,-6.319016500864853,-1.1340896945001826,71
4,1,14,-6.955454200493712,-1.2190052765276493,69
5,1,15,-20.578228281849807,-1.8717782396950073,66
6,1,16,-20.83889346254416,-1.9192199625876714,67
7,1,17,-20.58232092653542,-1.9563555679125042,65
8,1,18,-20.507041386648435,-1.9624402933410146,62
9,1,19,-20.1461244103498,-1.8930661861306344,61
10,1,20,-20.082835157642855,-1.9083545969873568,58
11,1,21,-21.391849421665015,-1.9955336002485504,55
12,1,22,-21.259245088407734,-1.9944237770475406,52
13,1,23,-21.00870231248137,-1.9848959190286333,53
14,1,24,-19.85084491856949,-1.9008420086396118,52
15,1,25,-19.233339849374286,-1.8734696872723722,51
16,1,26,-18.546407140146442,-1.800209916754262,48
17,1,27,2.127871814142464,0.03896180007657819,45
18,1,28,-18.122121462794382,-1.787918483839548,43
19,1,29,-17.896212595129438,-1.7748552917264242,43
20,1,30,-18.453688540620547,-1.8081592640145827,42
21,1,31,-19.27052821916268,-1.9601685427031532,42
22,1,32,-18.631271146995932,-1.845725139257707,42
23,1,33,-20.20802106382633,-1.9997430696601315,45
24,1,34,-17.785892286161666,-1.84409662718692,46
25,1,35,-18.020115403020835,-1.9279535240697883,46
26,1,36,-18.21864790805826,-2.003327885561973,43
27,1,37,-18.367129946936597,-2.0300163835082317,41
28,1,38,-20.23532876587495,-2.047814796706563,41
29,1,39,-20.09634765067836,-2.0539638925047736,38
30,1,40,-20.950949149520017,-2.0898836518631847,39
31,1,41,-20.453723494183503,-2.003292202735442,37
32,1,42,-20.527103866061054,-2.006679267089442,37
33,1,43,-20.67700563842823,-1.9942467116725078,38
34,1,44,-20.485448022680412,-1.9912225996117807,36
35,1,45,-22.311985853710077,-2.3231131923465806,35
36,1,46,-22.53922787076203,-2.3176794845938615,33
37,1,47,-22.53922787076203,-2.3235968305522565,32
38,1,48,-20.189117796834108,-1.840437728035273,30
39,1,49,-20.189117796834108,-1.840437728035273,30
40,1,50,-19.76821717166542,-1.8217936093959355,30
41,1,51,-20.018860932664918,-1.8751338270584024,31
42,1,52,-19.868927788516793,-1.8428223315027397,32
43,1,53,-20.357908013080035,-1.9810008628746762,33
44,1,54,-19.789073646710527,-1.9580888802537693,32
45,1,55,-20.39428963590855,-2.0959669738953344,33
46,1,56,-20.39428963590855,-2.0959669738953344,33
47,1,57,-21.27301650642666,-2.2818522211417323,35
48,1,58,-21.49021738200623,-2.310295145813447,35
49,1,59,-21.394106913415968,-2.313183982077076,35
50,1,60,-21.531079727296216,-2.2682745997174014,34
51,1,61,-20.63508642901608,-2.1465468149786493,32
52,1,62,-20.273491562868625,-2.1330920020044437,31
53,1,63,-19.92025808350715,-2.0535936784748303,31
54,1,64,-19.932334728573313,-2.0586837074782296,30
55,1,65,-19.511641510844083,-1.9982151068914427,32
56,1,66,-19.683035505623632,-2.0374556451598207,30
57,1,67,-19.635093581590638,-2.0405656788310758,29
58,1,68,-19.934303984096445,-2.083863582695346,30
59,1,69,-19.97241271748428,-2.093153476364725,30
60,1,70,-19.42810769619157,-2.0119511639792242,29
61,1,71,-18.299938288364086,-1.8244207179376142,31
62,1,72,-17.263744841743016,-1.813818912942977,31
63,1,73,-15.93772577367182,-1.6621034807234896,28
64,1,74,-15.702386762985354,-1.6678099343449935,26
65,1,75,-15.702386762985354,-1.6678099343449935,26
66,1,76,-15.612626512528719,-1.6086145463303285,26
67,1,77,-15.419572247616728,-1.5968286860591216,26
68,1,78,-15.13877201316927,-1.5536913669362873,27
69,1,79,-14.745543691577476,-1.606007196781796,27
70,2,10,16.273171696939432,0.42139635470330156,58
71,2,11,-9.014458384407055,-1.5264850116142339,54
72,2,12,-8.646386686062648,-1.6112939451607966,52
73,2,13,-5.449438305984945,-1.1002554297046103,49
74,2,14,-20.183130118070068,-2.002059376814283,51
75,2,15,-20.57673090815151,-2.017322450072719,47
76,2,16,-19.816692815707427,-1.8718020853236998,44
77,2,17,-19.92391734811797,-1.8384677653647272,41
78,2,18,-19.89762901665548,-1.8634169987574236,38
79,2,19,-16.8364637636298,-1.2408328861285016,38
80,2,20,-16.811409970130953,-1.2404888280896929,37
81,2,21,-18.37688508289173,-1.8463879913243588,36
82,2,22,-18.541971868036924,-1.8588283309469662,35
83,2,23,-18.774402287002275,-1.8757428252608224,36
84,2,24,-19.580726912629512,-1.9974499551297256,38
85,2,25,-19.291926717099848,-1.9632527360659007,35
86,2,26,-19.417955294234314,-1.9714846602625742,35
87,2,27,-19.333290816332966,-2.034577652341155,32
88,2,28,-19.38163414847473,-1.9947177228293465,33
89,2,29,-17.48412190417225,-1.8765387528788255,34
90,2,30,-17.333136209101017,-1.8732077788160246,32
91,2,31,-18.12197918675605,-1.9279088180623436,33
92,2,32,-19.958962411905105,-2.028883296779024,34
93,2,33,-20.557762380869693,-2.159061573544491,34
94,2,34,-20.18742594575544,-2.1359100864162825,35
95,2,35,-19.11433069926856,-2.079607050835298,35
96,2,36,-21.689780479491024,-2.325532032383367,32
97,2,37,-20.427892697566786,-2.1044302237322365,29
98,2,38,-20.46730417263891,-2.1359678704901737,30
99,2,39,-20.159458464327077,-2.054168988732063,31
100,2,40,-19.285074865641356,-2.014718318945588,29
101,2,41,-21.474222159465114,-2.126861011847955,28
102,2,42,-21.430326368192233,-2.116287671309532,28
103,2,43,-21.54420672965177,-2.1280861728664044,27
104,2,44,-21.387927370245656,-2.0926218783454438,26
105,2,45,-20.836232907899234,-2.0597993604481704,24
106,2,46,-19.324129521501096,-1.962395938691907,27
107,2,47,-19.462357684521162,-2.0197965702327063,27
