,ema_fast,ema_slow,annual_return,sqn,trades
0,1,10,25.554083156222053,0.8147632893201397,16
1,1,11,22.012651934494567,0.6679864031691211,18
2,1,12,-9.04758291702487,-0.84469039632352,17
3,1,13,-11.186394853656926,-1.0410088109451432,17
4,1,14,-10.038265262432141,-0.9336035342856868,16
5,1,15,-21.021766982813258,-1.8913770880242922,18
6,1,16,-18.77139108233653,-1.5559744714929227,16
7,1,17,-15.631713005201359,-1.6307843295058093,14
8,1,18,-15.90524122504341,-1.5786265365208656,15
9,1,19,-18.098501695186417,-1.7201483088830902,16
10,1,20,-13.315478024595015,-1.268700088470084,14
11,1,21,-12.462969101075801,-1.2258743655419473,13
12,1,22,-11.903896975289593,-1.2453671970019045,14
13,1,23,-8.09957551905128,-0.7785074315734694,14
14,1,24,-8.896361063183269,-0.9968554231156916,14
15,1,25,-7.908651284143832,-0.8847694576274093,13
16,1,26,-13.040555945669151,-1.7277598267135406,11
17,1,27,-13.244933732346656,-1.638300341274252,10
18,1,28,-13.0319497447034,-1.5876813357871136,9
19,1,29,-13.350325966805693,-1.5594378177224253,10
20,1,30,-13.350325966805693,-1.5594378177224253,10
21,1,31,-12.616444844783114,-1.4178316591820466,11
22,1,32,-12.877613723523954,-1.4667654678582482,10
23,1,33,-15.721359900977145,-2.5725135166739217,10
24,1,34,-15.721359900977145,-2.5725135166739217,10
25,1,35,-16.429079834026677,-2.992838049549938,9
26,1,36,-14.505958840028566,-2.223107776492777,9
27,1,37,-15.340457685010506,-2.557872722631446,9
28,1,38,-15.53645909090952,-2.5185610292848457,10
29,1,39,-15.53645909090952,-2.5185610292848457,10
30,1,40,-15.53645909090952,-2.5185610292848457,10
31,1,41,-15.406813505483516,-2.4994719381310104,10
32,1,42,-11.1622074600381,-2.0629596570676663,9
33,1,43,-9.844777660215463,-1.6846052879794446,8
34,1,44,-11.668276485755493,-2.489449765746547,7
35,1,45,-5.235698255728872,-0.7595216056280599,6
36,1,46,-5.098864969005377,-0.6670844878214983,7
37,1,47,-6.6207820999327565,-0.8891897877720328,7
38,1,48,-7.153946915390444,-0.9608259562451982,8
39,1,49,-5.869169464526093,-0.7777693243161826,7
40,1,50,-5.869169464526093,-0.7777693243161826,7
41,1,51,-5.58699080975132,-0.7336788087680077,8
42,1,52,-5.58699080975132,-0.7336788087680077,8
43,1,53,-5.996861109041334,-0.8573089467319598,8
44,1,54,-5.996861109041334,-0.8573089467319598,8
45,1,55,-6.27781286470466,-0.908366825485131,7
46,1,56,-6.27781286470466,-0.908366825485131,7
47,1,57,-6.27781286470466,-0.908366825485131,7
48,1,58,-6.27781286470466,-0.908366825485131,7
49,1,59,-6.27781286470466,-0.908366825485131,7
50,1,60,-6.27781286470466,-0.908366825485131,7
51,1,61,-6.27781286470466,-0.908366825485131,7
52,1,62,-6.27781286470466,-0.908366825485131,7
53,1,63,-4.352931179682386,-0.6328206066775031,5
54,1,64,-1.5843578433582084,-0.23437841140018417,4
55,1,65,-1.5843578433582084,-0.23437841140018417,4
56,1,66,-2.8935605201500874,-0.4241719745130155,5
57,1,67,-2.8935605201500874,-0.4241719745130155,5
58,1,68,-1.6286478803164628,-0.23197650147577134,5
59,1,69,-1.6286478803164628,-0.23197650147577134,5
60,1,70,-1.6286478803164628,-0.23197650147577134,5
61,1,71,-3.0583725016566294,-0.43030693879471593,6
62,1,72,-2.0693876251875993,-0.31490678065145733,6
63,1,73,-0.528014373392054,-0.08056688374279415,5
64,1,74,0.06579038202764932,0.010428692645624729,3
65,1,75,0.06579038202764932,0.010428692645624729,3
66,1,76,0.06579038202764932,0.010428692645624729,3
67,1,77,-2.443025808085033,-0.5869412723989116,4
68,1,78,-2.443025808085033,-0.5869412723989116,4
69,1,79,-2.443025808085033,-0.5869412723989116,4
70,2,10,-7.64971978752365,-1.2846789372605636,7
71,2,11,-6.982868086070786,-0.8176167185227591,8
72,2,12,-12.11353327464109,-1.3876870203740288,10
73,2,13,-14.222505204670968,-1.61589061939332,9
74,2,14,-18.117486152868704,-2.0857324204168597,9
75,2,15,-16.484175578695183,-2.0185071774767036,9
76,2,16,-16.410154211304416,-2.013246354263999,9
77,2,17,-16.05773027849087,-1.8840599679459467,9
