,ema_fast,ema_slow,annual_return,sqn,trades
0,1,10,-0.48091879061055165,-0.06782464207134498,75
1,1,11,-0.8699947619441512,-0.15510853522862011,70
2,1,12,-1.787275425721754,-0.3689562719050676,69
3,1,13,-4.411380324616804,-1.3175969540888246,63
4,1,14,-13.890308651423119,-1.2094583857820773,60
5,1,15,-12.20338251508543,-1.099824444774186,63
6,1,16,-10.92785449814364,-1.0210143775736356,59
7,1,17,-10.229327283898098,-0.9677009079343822,54
8,1,18,-11.428787685235097,-1.0515212492981192,51
9,1,19,-9.096462698218234,-0.8873213167751983,49
10,1,20,-10.608262400097109,-1.0527669276324432,49
11,1,21,-10.930100979339475,-1.0343347627314223,49
12,1,22,0.37087155415652623,0.10063397504812892,49
13,1,23,1.53709753590403,0.4205816364373621,46
14,1,24,3.171163685158346,0.8716798062010601,41
15,1,25,1.2716256775194386,0.2940432266487334,41
16,1,26,3.5178399373843123,0.8699330066725928,38
17,1,27,1.536944216267071,0.41754883606378423,38
18,1,28,1.43072831150692,0.3907081429878999,37
19,1,29,1.4893482913710656,0.4105184674530219,36
20,1,30,1.4167551291530045,0.3879621130777802,35
21,1,31,0.7543083306813266,0.201694490947913,36
22,1,32,2.073132870578391,0.4335518029013723,33
23,1,33,1.3766162676273008,0.29088362020097214,34
24,1,34,1.216554975465153,0.25393540433573447,37
25,1,35,1.7513268815013017,0.3677614661200484,37
26,1,36,5.135348376364554,0.8278358139683948,38
27,1,37,5.407761268955285,0.869516951197745,38
28,1,38,4.822452063522846,0.8109944652556383,37
29,1,39,4.400998260074659,0.7469523671551782,38
30,1,40,5.281415418987811,0.8885690317404199,36
31,1,41,5.567022721254291,0.9454782920486647,35
32,1,42,2.963709102074659,0.6044551417086617,34
33,1,43,2.6136851026190144,0.5181055238767387,36
34,1,44,1.8819235004925465,0.36526704588791586,34
35,1,45,2.295745745266614,0.4263114244062161,32
36,1,46,2.396862403233537,0.444217111409715,32
37,1,47,1.7441128218897293,0.3222130192623175,33
38,1,48,2.1324338242678564,0.41008986268883707,32
39,1,49,2.5559892616605047,0.4984209191724863,31
40,1,50,1.5858065802705088,0.32245039545046833,31
41,1,51,1.3119505260408197,0.268407490881872,31
42,1,52,1.2538914058119859,0.2570527251041041,30
43,1,53,1.3831636398144123,0.2902345796677061,28
44,1,54,1.4168230671846995,0.29694379847376506,27
45,1,55,2.0547811762127144,0.429512781531892,29
46,1,56,6.214318541338178,0.9164578328303561,29
47,1,57,5.0628811968379495,0.7439186529722571,31
48,1,58,4.930354259847505,0.7248413466643989,30
49,1,59,4.746784738682723,0.7162391740227908,30
50,1,60,0.5163726342008252,0.11417531720624467,29
51,1,61,-3.4176063002173676,-2.3435220816870186,28
52,1,62,-3.3501160455244134,-2.3193114898177765,28
53,1,63,-3.24712030066105,-2.2627432000441825,27
54,1,64,-3.24712030066105,-2.2627432000441825,27
55,1,65,-3.2947498196548444,-2.3014155534239347,26
56,1,66,-2.7747468868810774,-1.931393479289617,24
57,1,67,-2.61150854259858,-1.8082028626667748,25
58,1,68,-3.1611126480445484,-2.266727201432698,24
59,1,69,-3.251025079046395,-2.335396107495725,24
60,1,70,-2.907573444484115,-1.9853751518090432,24
61,1,71,-2.907573444484115,-1.9853751518090432,24
62,1,72,-2.491701097185298,-1.6861613490732237,23
63,1,73,-3.697571239734212,-3.434255040504446,21
64,1,74,-3.37906520556514,-3.0876004095505833,20
65,1,75,-2.8720140687397056,-4.127362029948925,18
66,1,76,-2.981202595972107,-4.765756141680122,17
67,1,77,-3.4387417460285215,-5.805991384483482,16
68,1,78,-3.085337163304209,-5.92107445773278,14
69,1,79,-1.774745344801539,-1.148755760587079,15
70,2,10,-12.848788655260426,-1.1067402555509092,50
71,2,11,-11.366785389029484,-1.0847489197935445,50
72,2,12,-10.933788099907465,-1.0446543970789262,48
73,2,13,-11.957047805943507,-1.17966052445419,44
74,2,14,-11.894561950710225,-1.1730029787642156,41
75,2,15,-9.047804895801784,-0.918128260246505,39
76,2,16,-10.590648303299254,-1.0542385939088632,38
77,2,17,-9.664261684158127,-0.9462022905733393,38
78,2,18,-11.380007975127095,-1.0638524918841494,40
79,2,19,-8.38895464523425,-0.825955991227687,39
80,2,20,-8.555763017583304,-0.6774689753357632,39
81,2,21,-7.866256869949713,-0.6175375820607935,35
