,ema_fast,ema_slow,annual_return,sqn,trades
153,3,23,-9.20879570554853,-1.4475786231307668,48
154,3,24,-7.137910382848882,-1.1387675015547363,44
155,3,25,-5.7894425540229655,-0.9107012614282213,41
156,3,26,-2.382367126323623,-0.3020777288003758,38
157,3,27,-2.086880178122737,-0.26765390994557214,35
158,3,28,-1.9100414770685632,-0.24973266193993335,36
159,3,29,-1.032807445077405,-0.12769413682775524,36
160,3,30,-7.709826788616326,-0.651883031966937,34
161,3,31,-4.727159915271019,-0.46796600028876845,35
162,3,32,-4.2512903619244495,-0.42661326739855987,33
163,3,33,-4.412020565004898,-0.43488521387533524,31
164,3,34,-4.3390441371739525,-0.43585956600946063,31
165,3,35,-4.2589178188139485,-0.4273243027390665,31
166,3,36,-4.143264746966575,-0.41820514113654234,32
167,3,37,-5.813128845783979,-0.6085125662677898,32
168,3,38,-6.220238210465641,-0.6254315942563929,32
169,3,39,-9.539025627843086,-0.8303149255182658,30
170,3,40,-10.073538533074046,-0.8449173854026685,30
171,3,41,-9.722957244873047,-0.8277273598010744,29
172,3,42,-10.288570155690504,-0.8828880410855638,30
173,3,43,-9.992417080203793,-0.8279686099453617,34
174,3,44,-7.031618944401669,-0.628609521762485,33
175,3,45,-6.980510851370444,-0.6355492236235931,32
176,3,46,-7.3621209285514855,-0.6821659707068238,32
177,3,47,-6.544515443466595,-0.5997248928654129,30
178,3,48,-6.16195434299896,-0.5814174161148715,30
179,3,49,-8.167560723523918,-0.7176626753209362,29
180,3,50,-3.3161401120644767,-0.19435322885844974,28
181,3,51,-3.210948866256845,-0.18501334982899223,27
182,3,52,-1.8190168492529684,-0.10856900266177841,25
183,3,53,-2.2275470360711163,-0.13131315316164083,26
184,3,54,4.629661633852832,0.40766938207691866,25
185,3,55,-2.700285936788072,-0.15440445992741433,26
186,3,56,-2.0458702650057328,-0.11672857095976963,30
187,3,57,-2.394774023376059,-0.13542279140758842,29
188,3,58,-1.9899721752717692,-0.11070359627025587,27
189,3,59,-1.7041651940278846,-0.0956040340858927,27
190,3,60,-1.1440348890985177,-0.06495025528704161,25
191,3,61,-1.485312935404065,-0.08569905113337901,25
192,3,62,-2.669205933071161,-0.16249484974142878,24
193,3,63,-2.8762993639311665,-0.17107050653601372,25
194,3,64,-2.3276479000352204,-0.13842923864285575,22
195,3,65,-4.244959028914126,-0.25196451268946696,24
196,3,66,-4.3097838976697656,-0.25759725626183105,24
197,3,67,-5.184709008419581,-0.3326091396605034,23
198,3,68,-5.56889120365983,-0.34848311058160153,24
199,3,69,-2.6622180931547286,-0.17565764456932081,25
200,3,70,4.265948808313599,0.386687077762284,24
201,3,71,4.738184553416463,0.4400873421883728,23
202,3,72,5.364070231885572,0.3651464268653351,23
203,3,73,7.25449065099831,0.5222580334442187,22
204,3,74,6.89466082277123,0.489816936599039,23
205,3,75,6.495239010120805,0.4559282642944561,24
206,3,76,4.986247890450135,0.3855818027870108,25
207,3,77,4.916372999794308,0.3796707918155089,25
208,3,78,4.757348705718829,0.3661345421219804,25
209,3,79,3.6901013589289087,0.2747267257726715,23
210,4,10,1.750176197154061,0.22206451093372018,55
211,4,11,2.703862597755967,0.31753205178509314,57
212,4,12,1.0725389552592326,0.1457643232804286,50
213,4,13,4.568186352745329,0.6376924867906631,50
214,4,14,4.192919912359058,0.5745618196980988,48
215,4,15,3.272192295042949,0.45835361239929806,46
216,4,16,0.08270948354065845,0.012863281791487187,45
217,4,17,-0.8483779732344382,-0.13815870814534614,43
218,4,18,-4.652195781499204,-0.750137479451034,43
219,4,19,-3.909429977298759,-0.6398874834942507,38
220,4,20,-5.026146592322168,-0.7876254284253582,35
221,4,21,-7.012540432275773,-1.0810312738441505,39
222,4,22,-5.060508763273585,-0.5931888296759554,42
223,4,23,-5.736292291003871,-0.7029004934403483,40
224,4,24,-5.001052725791827,-0.6080280405102467,36
225,4,25,-5.261947682564518,-0.6375169576433027,38
226,4,26,-11.128658427234967,-0.9382735347052523,36
227,4,27,-9.418392591220181,-0.6863247107098511,33
228,4,28,-5.548116062152844,-0.45919026861943824,30
229,4,29,-6.603390716685094,-0.6042648161072763,30
230,4,30,-6.726704424361266,-0.615152777227637,30
231,4,31,-6.395001785888624,-0.5903426922898223,30
232,4,32,-4.838491097061985,-0.4629594171960083,27
233,4,33,-4.900984793922529,-0.4654569804856797,25
