,sma_fast,sma_slow,annual_return,sqn,trades,weighted_average
0,16,42,16.14255551125241,2.5418906774696257,16,13.422422544495856
1,26,119,15.586502924466275,2.734848053933,6,13.016171950359622
2,5,112,15.66954869415374,1.8621132908097395,13,12.908061613484941
3,25,123,15.20578742994213,3.15694488663629,4,12.796018921280965
4,19,105,15.179060269713036,2.9220552362602854,5,12.727659263022487
