,ma_fast,ma_slow,end_value
0,12,21,27406.0
1,20,21,25873.4
2,17,22,25853.0
3,23,60,25291.6
4,22,61,24935.8
5,17,32,24871.3
6,13,18,24723.3
7,24,60,24064.0
8,15,27,23660.0
9,10,25,22823.3
