,ma_fast,ma_slow,end_value
0,21,48,107339.0
1,21,50,105727.0
2,15,47,104616.0
3,7,55,104510.0
4,7,15,103801.0
5,7,54,99689.4
6,21,51,97233.1
7,7,30,96332.8
8,7,57,92584.9
9,14,47,91507.0
