,ma_fast,ma_slow,end_value
0,8,22,85654.7
1,2,22,73174.7
2,3,22,71731.7
3,7,16,64342.6
4,4,8,64059.0
5,4,11,63772.9
6,3,21,62786.9
7,7,19,62594.2
8,5,50,59940.0
9,4,24,59170.0
