,ma_fast,ma_slow,end_value
0,17,18,50254.0
1,17,20,39441.8
2,15,61,35483.9
3,17,86,35308.0
4,13,96,34423.0
5,6,20,34003.0
6,16,86,33795.3
7,13,97,33265.2
8,24,27,33126.7
9,12,99,32862.2
