,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,16,44,37,37.71744739425038,1.3016855141275991,27
1,7,51,39,36.844122439792855,1.323290381037857,40
2,7,52,38,36.7655879053951,1.2766028786847528,40
3,14,35,39,36.50283705924562,1.4419778746683083,32
4,14,36,38,36.50283705924562,1.4419778746683083,32
5,13,38,39,36.50145335467752,1.4453439994632693,32
6,8,59,38,36.49313934775529,1.1691687258051595,32
7,14,34,39,36.44790689566424,1.4370064762281884,33
8,14,35,38,36.44790689566424,1.4370064762281884,33
9,14,36,37,36.44790689566424,1.4370064762281884,33
10,16,43,38,36.32773164120952,1.288728565232887,27
11,17,33,37,36.32127622677685,1.4668232795938585,30
12,17,34,36,36.245372945486565,1.465159686654984,30
13,7,59,39,35.99402578248045,1.2192069136367747,35
14,18,45,33,35.9187476813186,1.272527871122728,27
15,17,46,34,35.9187476813186,1.272527871122728,27
16,8,57,39,35.8873637334711,1.1679940008054868,33
17,15,35,36,35.87920640488474,1.399682731007444,33
18,15,34,37,35.87920640488474,1.399682731007444,33
19,15,33,38,35.87920640488474,1.399682731007444,33
20,19,30,37,35.85677939971873,1.3396464436715898,30
21,17,43,36,35.81834753218227,1.271686460542717,27
22,17,42,37,35.81834753218227,1.271686460542717,27
23,18,41,36,35.81834753218227,1.271686460542717,27
24,17,41,38,35.81834753218227,1.271686460542717,27
25,17,40,39,35.81834753218227,1.271686460542717,27
26,17,32,38,35.80029600171894,1.4373249654746685,30
27,7,58,39,35.788174308900096,1.2264479216163306,37
28,7,53,37,35.78492901336678,1.157671476300788,41
29,8,56,37,35.77006010943637,1.2517025838071003,35
30,19,29,38,35.74276974997235,1.3420776657669329,30
31,8,58,36,35.73336065210699,1.2598231568297549,35
32,18,40,37,35.72598120095474,1.2700302239043209,27
33,18,39,38,35.72598120095474,1.2700302239043209,27
34,19,43,33,35.72598120095474,1.2700302239043209,27
35,18,44,34,35.72598120095474,1.2700302239043209,27
36,19,37,38,35.72598120095474,1.2700302239043209,27
37,19,38,37,35.72598120095474,1.2700302239043209,27
38,14,37,36,35.70213581587624,1.4279795982840435,33
39,7,57,35,35.66392839379534,1.2565047544845889,41
40,7,50,39,35.61344029258755,1.152924685186439,40
41,7,59,34,35.592200755050435,1.255536427821339,43
42,8,58,38,35.57913766230942,1.1887505502041118,32
43,7,56,36,35.49648141788694,1.2517527463253426,41
44,7,59,38,35.4903451603482,1.2353404514196795,38
45,7,57,39,35.4903451603482,1.2353404514196795,38
46,8,56,39,35.47213092063096,1.1867752783821188,32
47,13,54,36,35.45488140901208,1.3396597297197423,25
48,7,49,39,35.442191505936684,1.1449125054788476,41
49,7,58,35,35.41217748185196,1.2510601905609788,41
