,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,19,14,21,21.00700768420969,1.722096066781681,66
1,19,14,20,20.595431573748183,1.7001250894067856,66
2,19,18,16,20.403201697335767,1.7001165285197934,65
3,18,16,19,20.36392520521762,1.6984233228232186,65
4,18,15,20,20.326476162929705,1.6930561137897338,65
5,18,16,18,19.93627929781628,1.6688008064090325,66
6,17,16,19,19.87345592573651,1.6658087236592094,66
7,19,13,22,19.78682662445362,1.6614110718566832,65
8,19,15,24,19.762083272093463,1.794510394054994,59
9,17,16,25,19.74911544094397,1.7938745226834925,59
10,19,16,18,19.705663780788136,1.660211617439658,65
11,18,17,17,19.686526226798023,1.641591622239044,66
12,17,16,20,19.66428479748017,1.6648309708694302,64
13,18,13,23,19.624555537472386,1.6603891455655395,64
14,18,15,25,19.618484001938388,1.7875975367705894,59
15,19,15,19,19.59874223071484,1.6617062758473893,64
16,16,12,30,19.402532701013406,1.6190729354753437,65
17,18,16,23,19.276254617333265,1.6683305726750135,59
18,19,17,16,19.23584812056446,1.61744104996267,66
19,19,16,17,19.22857473332334,1.6171091830035738,66
20,17,14,23,19.212511986215368,1.6014499503168538,65
21,16,14,24,19.167649397096937,1.6490514984757565,64
22,14,12,39,19.15478422914376,1.730173826143368,65
23,15,13,35,19.14992238830633,1.731868159943893,62
24,16,12,35,19.134473746955607,1.7279874258778067,62
25,19,14,26,19.12925465300462,1.771553642434763,58
26,19,18,15,19.12265833357348,1.633396859157795,66
27,19,15,18,19.07651752268633,1.6307347489023456,66
28,18,15,19,19.06368047830804,1.6300924924813285,66
29,15,13,34,19.048758534442666,1.7250254167041783,63
30,16,12,36,19.047892441932134,1.7176270107079807,62
31,16,12,37,18.919171021259057,1.7275658476474978,63
32,19,12,24,18.9037853124193,1.6275648565247132,63
33,18,16,25,18.8291024052607,1.7660341507919897,57
34,19,13,23,18.825220072996533,1.623609972194127,65
35,19,15,20,18.810884666255163,1.6398280213247638,64
36,19,14,28,18.804140506074997,1.7719521512088494,58
37,15,13,29,18.79904612664266,1.598714893823011,64
38,18,15,21,18.79809232473304,1.6391965594991271,64
39,19,16,23,18.731837389335283,1.7483664685126497,58
40,14,13,39,18.729287631395568,1.7038259024981746,62
41,19,15,25,18.71562519534947,1.7706176148306876,56
42,17,11,37,18.6910539538564,1.7004974329234492,62
43,18,17,18,18.679743959676543,1.6244337076200617,64
44,17,14,22,18.664803495877845,1.6038232295041377,66
45,19,15,23,18.65215341586841,1.6422432488856382,61
46,19,17,17,18.63788178852985,1.6223020644060222,64
47,18,17,23,18.60710149086453,1.742843778766645,58
48,18,16,24,18.53965890824715,1.740388749239822,58
49,16,11,37,18.516978303370927,1.6812945071770984,66
