,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,11,10,10,27.86228874280658,2.906471353661651,109
1,12,11,8,27.767190518934616,2.839407647031843,110
2,13,12,7,27.642015927742232,2.9439600129333083,107
3,12,10,9,27.028790838831547,2.7842891206145266,109
4,13,10,8,26.687850375311488,2.7944861958390117,109
5,14,11,7,26.643119791487475,2.8111056031462693,108
6,13,10,6,26.16589709290851,2.796181491079672,117
7,14,10,8,26.10063268177472,2.7120843882114145,108
8,12,11,6,25.939592557188917,2.753742666450541,117
9,16,11,6,25.79872809933597,2.5820193675947736,111
10,17,16,4,25.74416968898656,2.865327000570503,112
11,11,10,7,25.690086228843047,2.749429733304816,117
12,18,15,4,25.68468239854505,2.7989002519481576,112
13,15,10,7,25.63531348610725,2.6272774871418085,109
14,16,10,7,25.39069018081605,2.541359611774135,108
15,16,10,6,25.381381736432456,2.5849316446286377,112
16,12,10,7,25.336373741141188,2.589942248159121,116
17,13,11,7,25.289300811422,2.706170807330489,110
18,14,12,7,25.12877467928179,2.7126292120511604,106
19,17,13,5,24.955073354908382,2.3660527585441096,113
20,15,11,6,24.949146527040043,2.6540596877469143,111
21,15,11,7,24.82102201573392,2.621520486821002,107
22,17,10,7,24.813313759092345,2.600455663888713,107
23,18,10,5,24.801059526417024,2.528944827311082,112
24,19,15,4,24.783842289901933,2.895563858632227,113
25,12,11,7,24.721108191092124,2.6594538545918005,112
26,17,10,6,24.640839911801628,2.49533036686307,112
27,19,14,4,24.602845991131357,2.756039397089989,114
28,12,10,3,24.46972142170405,2.362787744881659,156
29,16,14,5,24.452535483179897,2.292441190857218,112
30,14,10,7,24.406979636856747,2.4860164479160307,111
31,14,10,6,24.38292585550577,2.57097323718065,115
32,18,12,5,24.345434809443525,2.3224186949609447,112
33,18,16,4,24.29177714046559,2.8791839184982417,111
34,17,15,5,24.221078015982496,2.440367278053651,107
35,13,10,3,24.19248748834785,2.385454539589789,152
36,16,11,5,24.041575422565064,2.478199466863785,112
37,15,10,8,23.95128292462449,2.595165259214891,105
38,19,10,5,23.90911950474284,2.363120386519494,112
39,13,10,7,23.872134269341103,2.5176162746030366,113
40,11,10,4,23.864807081742715,1.986670050339781,146
41,19,10,6,23.831816385117094,2.297021169357801,111
42,16,12,6,23.792142650838176,2.2401190728891343,110
43,11,10,8,23.76084680910782,2.541276224261336,113
44,18,14,5,23.7103807258051,2.417835301491331,107
45,17,10,5,23.703388355194463,2.557727783038552,115
46,17,11,5,23.66808912587245,2.3387594546115933,112
47,12,10,8,23.65580055498357,2.5084939570136937,111
48,13,11,6,23.62706265321687,2.56620602676649,113
49,14,10,3,23.61529296312281,2.388347449124685,148
