,ema_fast,ema_slow,annual_return
0,5,42,37.15463459532236
1,6,46,35.96657108463516
2,6,47,35.92227901238194
3,5,41,35.92063470296148
4,7,43,35.80853469088821
5,6,40,35.66878007014233
6,6,45,35.66519593966846
7,8,40,35.66371082866724
8,7,40,35.6137345875734
9,5,43,35.2265280371334
10,5,44,35.22191716250378
11,7,41,35.198498133982014
12,7,42,35.165526427331024
13,4,52,35.070220856002415
14,4,50,34.96164341557704
15,4,49,34.92597979290564
16,4,53,34.86719893183498
17,8,39,34.804285494315685
18,7,39,34.79972383756993
19,6,44,34.64846523055755
20,4,51,34.63534223848113
21,5,45,34.61222412812834
22,5,46,34.61222412812834
23,4,54,34.5599989808831
24,5,40,34.3776756083481
25,8,37,34.36220936195228
26,6,43,34.341672155183
27,5,39,34.277548140639524
28,6,42,34.232776459868106
29,7,44,34.16988423138548
30,4,47,34.16540889705418
31,8,38,34.09259159724444
32,6,48,34.09019805241418
33,1,51,33.95338702500838
34,5,47,33.93564472071768
35,7,38,33.923713235575875
36,4,46,33.89156320251664
37,2,48,33.88634318744029
38,9,36,33.84358580773152
39,9,34,33.825256996730175
40,6,49,33.79148274115538
41,4,48,33.75904344181498
42,2,46,33.75223145427561
43,8,36,33.749399062503976
44,7,47,33.7069339562597
45,6,50,33.669048926185766
46,9,35,33.491951937173056
47,19,50,33.48343124089793
48,10,33,33.451073490978416
49,2,41,33.44593648035003
