,ema_fast,ema_slow,annual_return
0,6,79,5.318234310990134
1,6,78,5.181110164099866
2,6,76,5.159228028128779
3,6,77,5.061875123993268
4,6,75,5.018345223559632
5,6,74,4.933369724374888
6,6,73,4.868890931555145
7,6,72,4.465198412989325
8,24,74,4.38190143960292
9,4,78,4.316578781881105
10,4,79,4.315000650702442
11,8,74,4.297353567213777
12,9,68,4.257916180598424
13,23,79,4.228677319713703
14,23,78,4.216754047949662
15,5,77,4.210762962992514
16,7,66,4.201233979485985
17,7,76,4.19502564731457
18,7,75,4.19502564731457
19,5,76,4.174905109257716
20,6,71,4.173129069599351
21,23,77,4.154304811848922
22,24,75,4.154304811848922
23,7,79,4.144174007772216
24,7,77,4.138599919903562
25,5,78,4.136507881281935
26,5,75,4.125476774587988
27,7,74,4.116540793386063
28,8,72,4.115819454103365
29,24,76,4.115782908940971
30,8,71,4.104383630231166
31,7,78,4.085381022384272
32,8,73,4.072798041734926
33,5,79,4.052422802899786
34,7,65,4.004600671467435
35,4,77,3.925296274921128
36,7,72,3.902446989142092
37,7,73,3.902446989142092
38,4,76,3.8695336180303297
39,8,70,3.853746683254523
40,6,70,3.8307371750977808
41,9,79,3.8058097352339058
42,7,63,3.773773129964408
43,2,79,3.729304145139937
44,9,67,3.7089054722365775
45,5,74,3.705633581500544
46,8,65,3.696187051545462
47,8,68,3.6838579959714144
48,7,71,3.633517847481888
49,6,69,3.62043539641452
