,ema_fast,ema_slow,annual_return
0,1,42,0.2914267258408209
1,16,16,0.0
2,21,21,0.0
3,19,19,0.0
4,18,18,0.0
5,17,17,0.0
6,22,22,0.0
7,15,15,0.0
8,14,14,0.0
9,13,13,0.0
10,12,12,0.0
11,24,24,0.0
12,23,23,0.0
13,11,11,0.0
14,10,10,0.0
15,20,20,0.0
16,2,21,-0.1319211645364918
17,1,40,-0.4331712082773745
18,1,41,-0.464113722920516
19,1,39,-0.6509620131838725
20,24,79,-0.7262543904811777
21,1,43,-0.8348975764182014
22,1,44,-0.8849528873310278
23,2,22,-0.9456027704000132
24,2,16,-0.994623897886868
25,1,45,-1.180354121099496
26,5,11,-1.2505217744305952
27,2,15,-1.2738940725356775
28,4,12,-1.2758656917800175
29,1,46,-1.357728803368021
30,24,72,-1.3695032998543155
31,24,71,-1.3978177252222816
32,23,79,-1.4144665911689267
33,24,77,-1.4150327447715838
34,2,17,-1.4191879036325077
35,6,10,-1.4662796975135437
36,24,78,-1.4674526457875905
37,5,12,-1.4945392413104153
38,23,78,-1.5016203050097428
39,23,75,-1.5996954953007427
40,24,73,-1.5996954953007427
41,23,74,-1.5996954953007427
42,3,10,-1.624846682500392
43,24,75,-1.6252900102890249
44,2,12,-1.6672390517895332
45,24,76,-1.6722288443679951
46,3,14,-1.6865776124073917
47,2,63,-1.7019054573798906
48,5,13,-1.7260152002786664
49,3,28,-1.737140628893501
