,ema_fast,ema_slow,annual_return
0,19,10,11.976197468430376
1,18,10,11.757643387076335
2,15,14,11.408880874239776
3,17,12,11.408880874239776
4,16,13,11.408880874239776
5,18,11,11.408880874239776
6,17,10,10.562388455046472
7,17,11,10.169701278739932
8,15,13,9.79252733497575
9,16,12,9.79252733497575
10,12,11,8.774368274136659
11,15,12,8.666615666634854
12,16,11,8.666615666634854
13,14,13,8.666615666634854
14,12,10,8.457434682455208
15,13,10,8.235386243736178
16,16,10,7.869487553769789
17,11,10,7.789296542924726
18,13,11,7.762735804044361
19,19,11,7.74820130006109
20,20,10,7.520951052217724
21,13,12,7.469788906127385
22,14,11,7.469788906127385
23,15,11,7.169954413986004
24,14,12,7.169954413986004
25,18,12,6.994605770484268
26,15,10,6.920766594080213
27,17,13,6.75576173627204
28,14,10,6.541506538115483
29,16,14,6.137191318190482
30,21,11,6.07709011349175
31,22,10,5.986417511561989
32,20,12,5.955545105488115
33,23,10,5.91364737155167
34,20,11,5.866157929733002
35,20,13,5.790515882906663
36,17,15,5.643236069612973
37,18,14,5.643236069612973
38,21,10,5.586641410353222
39,21,13,5.493719124133494
40,18,16,5.445548831624894
41,23,12,5.247239956054852
42,17,14,5.238152478808736
43,19,12,5.154285447003732
44,22,11,5.0532808965805724
45,18,13,5.027687186718512
46,19,15,4.953439729719741
47,20,14,4.953439729719741
48,24,10,4.834387518073145
49,22,14,4.768874755617149
