,ema_fast,ema_slow,annual_return
0,6,11,27.59811505755252
1,7,10,27.55309870640245
2,6,10,24.65246043272737
3,4,13,24.288760709766056
4,5,12,24.02597031030282
5,5,11,22.48953054007236
6,5,13,21.56898881660019
7,4,12,21.5190684950421
8,6,12,21.45879096934406
9,4,14,21.338519308520297
10,3,14,20.90738497687969
11,5,10,20.771255640889787
12,4,11,20.527471282830952
13,3,15,20.21145897434748
14,3,10,20.067192705801013
15,3,13,19.469910489861675
16,4,10,18.56762203420619
17,3,12,18.380237372337497
18,5,17,18.071186656030022
19,5,16,17.38984514727348
20,2,14,17.388702661732395
21,2,15,17.374984744006785
22,2,12,16.87289589369605
23,2,16,16.51056531237822
24,2,11,15.846458486513884
25,4,18,15.667872716525602
26,4,15,15.437910042865443
27,2,10,15.430805230366976
28,3,11,15.426295715545942
29,1,10,14.874779630274618
30,2,13,14.317706892826893
31,2,17,14.263264602546064
32,4,17,14.242465999717403
33,5,15,14.072601973152992
34,4,16,14.030606991931135
35,4,19,13.905612609649609
36,1,14,13.616523575755489
37,6,15,13.538988703066442
38,9,10,13.532474101511788
39,1,11,13.093447369856978
40,8,10,12.931954095596096
41,1,16,12.688249746353474
42,6,14,12.620937182618396
43,7,12,12.499079569249174
44,3,21,12.235845347563416
45,2,25,11.978993278749392
46,8,11,11.869490606245655
47,2,26,11.835451655389166
48,6,24,11.551561615408572
49,7,13,11.460111187782724
