sma_fast,sma_slow,annual_return,ema_fast,ema_slow
27.0,24.0,8.806735121429774,,
28.0,18.0,8.494787083009728,,
27.0,25.0,8.422296476724279,,
,,7.376189345710974,2.0,17.0
,,7.35258890618323,2.0,18.0
,,6.41086069246872,2.0,20.0
