sma_fast,sma_slow,annual_return,ema_fast,ema_slow
8.0,23.0,21.14408000334306,,
6.0,22.0,20.41225025918106,,
8.0,22.0,20.034153452637288,,
,,16.641387165516257,8.0,11.0
,,16.467349199491377,9.0,10.0
,,16.395976998242055,7.0,12.0
