sma_fast,sma_slow,annual_return,ema_fast,ema_slow
27.0,92.0,22.06366584900332,,
27.0,26.0,21.613511450130588,,
13.0,55.0,21.0167694738002,,
,,18.14106658904109,10.0,30.0
,,18.069737177565223,9.0,31.0
,,18.04348316116549,4.0,77.0
