sma_fast,sma_slow,annual_return,ema_fast,ema_slow
15.0,71.0,36.02411379321999,,
14.0,91.0,35.95043886532298,,
13.0,72.0,33.671642490365535,,
,,30.20304825747772,21.0,57.0
,,30.20304825747772,20.0,59.0
,,30.17028177148473,21.0,62.0
