sma_fast,sma_slow,annual_return,ema_fast,ema_slow
7.0,21.0,25.884040158798346,,
7.0,23.0,25.04671419836099,,
19.0,73.0,24.947925871612902,,
,,21.853770259300216,10.0,68.0
,,21.799465924929923,1.0,53.0
,,21.721077826486848,1.0,49.0
