sma_fast,sma_slow,annual_return,ema_fast,ema_slow
18.0,11.0,156.6603909010941,,
19.0,10.0,145.97033454883515,,
20.0,10.0,141.94840572340004,,
,,57.096326151225526,13.0,11.0
,,57.096326151225526,14.0,10.0
,,53.3169244652921,13.0,12.0
