sma_fast,sma_slow,annual_return,ema_fast,ema_slow
6.0,146.0,7.853191075656059,,
6.0,147.0,7.804145939402132,,
6.0,148.0,7.694016286588459,,
,,6.576487113385799,5.0,12.0
,,6.434365017120308,4.0,23.0
,,6.402149512587815,4.0,22.0
