sma_fast,sma_slow,annual_return,ema_fast,ema_slow
23.0,26.0,18.892155133148787,,
19.0,15.0,16.235509465483293,,
23.0,25.0,14.120688270700285,,
,,10.674514153138674,14.0,11.0
,,10.628221452590044,13.0,12.0
,,10.55507424087362,15.0,11.0
