sma_fast,sma_slow,annual_return,ema_fast,ema_slow
18.0,30.0,26.99153800368772,,
22.0,24.0,26.672873718899147,,
26.0,33.0,25.933475430160392,,
,,24.24906693985428,9.0,72.0
,,23.99726428703976,10.0,70.0
,,23.95235852780346,9.0,71.0
