sma_fast,sma_slow,annual_return,ema_fast,ema_slow
16.0,30.0,22.43508943135504,,
17.0,30.0,19.213596134227995,,
13.0,30.0,19.15276168860622,,
,,14.848066457815548,24.0,72.0
,,13.99962356880027,24.0,73.0
,,13.852877247279546,23.0,74.0
