sma_fast,sma_slow,annual_return,ema_fast,ema_slow
24.0,45.0,44.15749160301542,,
28.0,38.0,43.515583055426426,,
25.0,40.0,43.19828477312296,,
,,35.25060347940741,4.0,30.0
,,34.64689542608728,4.0,31.0
,,33.970572151386634,15.0,73.0
