sma_fast,sma_slow,annual_return,ema_fast,ema_slow
4.0,117.0,26.587955591575795,,
1.0,118.0,26.30926488756619,,
4.0,118.0,26.20604798148609,,
,,25.23293954446897,13.0,79.0
,,24.74265542905569,13.0,78.0
,,24.550793236879283,14.0,75.0
