ma_fast,ma_slow,end_value,ema_fast,ema_slow
10.0,22.0,10613.0,,
10.0,25.0,10491.0,,
9.0,10.0,10485.0,,
,,10008.0,6.0,24.0
,,9940.0,7.0,22.0
,,9901.0,6.0,25.0
