,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,3,7,1.0,1.8,22.083571342832716,0.0,1
1,3,8,1.0,2.0,22.083571342832716,0.0,1
2,3,5,1.0,1.6,22.083571342832716,0.0,1
3,3,6,1.0,1.8,22.083571342832716,0.0,1
4,3,6,1.0,2.0,22.083571342832716,0.0,1
5,3,5,1.0,2.0,22.083571342832716,0.0,1
6,3,7,1.0,2.0,22.083571342832716,0.0,1
7,3,5,1.0,1.8,22.083571342832716,0.0,1
8,3,9,1.0,2.0,22.083571342832716,0.0,1
9,3,8,1.0,1.8,21.62034546979372,3.1217669426050114,2
10,3,9,1.0,1.8,21.62034546979372,3.1217669426050114,2
11,3,7,1.0,1.6,21.62034546979372,3.1217669426050114,2
12,3,6,1.0,1.6,21.62034546979372,3.1217669426050114,2
13,3,10,1.0,1.8,21.62034546979372,3.1217669426050114,2
14,3,7,1.2,2.0,21.242995114561776,0.0,1
15,3,7,1.2,1.8,21.242995114561776,0.0,1
16,3,8,1.2,2.0,21.242995114561776,0.0,1
17,3,6,1.2,2.0,21.242995114561776,0.0,1
18,3,6,1.2,1.8,21.242995114561776,0.0,1
19,3,9,1.2,2.0,21.242995114561776,0.0,1
20,3,5,1.2,2.0,21.242995114561776,0.0,1
21,3,5,1.2,1.8,21.242995114561776,0.0,1
22,3,5,1.2,1.6,21.242995114561776,0.0,1
23,4,5,1.4,2.0,21.242995114561776,0.0,1
24,4,6,1.4,2.0,21.242995114561776,0.0,1
25,4,5,1.2,2.0,21.08701784662834,0.0,1
26,4,6,1.2,2.0,21.08701784662834,0.0,1
27,4,8,1.0,2.0,20.892528047902584,1.351495577751574,2
28,4,7,1.0,2.0,20.892528047902584,1.351495577751574,2
29,4,5,1.0,1.8,20.892528047902584,1.351495577751574,2
30,3,8,1.0,1.6,20.805019860268228,2.175017228684538,3
31,3,8,1.0,1.4,20.805019860268228,2.175017228684538,3
32,3,10,1.0,1.6,20.805019860268228,2.175017228684538,3
33,3,7,1.0,1.4,20.805019860268228,2.175017228684538,3
34,3,9,1.0,1.6,20.805019860268228,2.175017228684538,3
35,4,8,1.4,2.0,20.783005394480018,3.3037164249595365,2
36,4,5,1.4,1.8,20.783005394480018,3.3037164249595365,2
37,4,7,1.4,2.0,20.783005394480018,3.3037164249595365,2
38,4,8,1.2,2.0,20.627603342492435,3.3432411144374963,2
39,4,7,1.2,2.0,20.627603342492435,3.3432411144374963,2
40,4,5,1.2,1.8,20.627603342492435,3.3432411144374963,2
41,4,5,1.0,2.0,20.578691804849445,0.0,1
42,4,6,1.0,2.0,20.578691804849445,0.0,1
43,5,5,1.4,2.0,20.440259118543512,2.3554725243836065,2
44,4,5,1.4,1.2,20.37274768397232,1.8992404157098928,5
45,3,5,1.0,1.4,20.094650002245825,2.175017228684538,3
46,3,6,1.0,1.4,20.094650002245825,2.175017228684538,3
47,4,8,1.0,1.8,20.094211015526973,1.9030844721802829,3
48,4,6,1.0,1.8,20.094211015526973,1.9030844721802829,3
49,4,7,1.0,1.8,20.094211015526973,1.9030844721802829,3
