,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,10,16,1.4,1.2,15.145091583650292,0.9533664242890356,12
1,10,17,1.4,1.2,15.145091583650292,0.9533664242890356,12
2,11,6,1.6,1.0,14.803113717308422,1.2437817745748885,12
3,10,5,1.6,1.0,14.259666707674908,1.306415825293853,10
4,10,6,1.8,1.0,14.259666707674908,1.306415825293853,10
5,10,7,1.8,1.0,14.259666707674908,1.306415825293853,10
6,9,7,1.8,1.0,14.085283802092135,1.285896309418942,10
7,11,10,1.6,1.0,13.89658141442663,1.101972866363336,13
8,9,17,1.8,1.0,13.656968818579788,0.9355556923095786,12
9,7,16,2.0,1.6,13.641888859487814,1.0185547996105606,5
10,7,17,2.0,1.6,13.641888859487814,1.0185547996105606,5
11,7,15,2.0,1.6,13.641888859487814,1.0185547996105606,5
12,7,14,2.0,1.6,13.641888859487814,1.0185547996105606,5
13,11,7,1.6,1.0,13.52687855159489,1.1651647847470477,12
14,9,6,1.4,1.0,13.503940171465072,0.9218676857918984,16
15,11,12,1.6,1.0,13.243079531853413,1.063873952324777,13
16,11,11,1.6,1.0,13.243079531853413,1.063873952324777,13
17,11,13,1.6,1.0,13.243079531853413,1.063873952324777,13
18,10,15,1.4,1.2,13.14650707386296,0.8376015878345754,13
19,9,16,1.8,1.0,13.142193621277531,1.0039366432577708,12
20,9,15,1.8,1.0,13.142193621277531,1.0039366432577708,12
21,10,6,1.4,1.0,13.09268288523175,0.9331680046813235,17
22,10,6,1.6,1.0,12.93839438521344,1.175169478268705,11
23,10,7,1.6,1.0,12.93839438521344,1.175169478268705,11
24,9,9,1.8,1.0,12.917711669291505,1.1648992147359731,11
25,9,10,1.8,1.0,12.917711669291505,1.1648992147359731,11
26,11,9,1.6,1.0,12.89804365061592,1.0304969669740724,13
27,9,8,1.8,1.0,12.641424541087211,1.143996171380359,11
28,10,5,1.4,1.0,12.408519120150586,0.9250081154041052,16
29,11,15,1.6,1.0,12.27115563567584,0.9627948777702736,14
30,11,17,1.6,1.0,12.27115563567584,0.9627948777702736,14
31,11,16,1.6,1.0,12.27115563567584,0.9627948777702736,14
32,10,8,1.8,1.0,12.214698100467022,1.0413957149725743,10
33,12,5,1.6,1.0,11.784134233258143,1.0721942028023397,12
34,9,12,2.0,1.0,11.742070484687734,1.0359817379577865,10
35,9,17,1.6,1.0,11.736519441605571,0.7484988182609673,14
36,9,15,2.0,1.0,11.48240502668734,0.9600203161198048,10
37,9,17,2.0,1.0,11.48240502668734,0.9600203161198048,10
38,9,16,2.0,1.0,11.48240502668734,0.9600203161198048,10
39,9,13,2.0,1.0,11.333974435591196,1.0020336456362986,10
40,9,14,2.0,1.0,11.333974435591196,1.0020336456362986,10
41,4,15,1.6,1.0,11.2262872169947,0.7623862230004776,8
42,11,8,2.0,1.0,11.133889767438248,1.117574891304088,9
43,9,11,1.8,1.0,11.090358404802538,0.936237234542432,11
44,9,17,1.4,1.0,11.078526622659584,0.623222261231286,16
45,10,9,1.8,1.0,10.967238002034978,0.9574396503144,10
46,10,14,1.4,1.2,10.881967799695492,0.7304683903356707,14
47,11,9,1.8,1.0,10.843847229534372,0.940744496509308,10
48,11,6,1.8,1.0,10.692338653167225,0.9876125192212756,11
49,11,15,1.6,1.2,10.683213461581676,0.9265432724944376,13
