,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,7,17,1.8,2.0,29.661351510440824,4.682640913286124,3
1,7,16,1.8,2.0,29.661351510440824,4.682640913286124,3
2,7,15,1.8,2.0,29.661351510440824,4.682640913286124,3
3,5,17,2.0,1.8,28.06386667690169,5.121093817138237,3
4,6,12,2.0,2.0,27.638237627274524,4.682640913286124,3
5,5,14,2.0,2.0,27.638237627274524,4.682640913286124,3
6,5,16,2.0,2.0,27.638237627274524,4.682640913286124,3
7,6,13,2.0,2.0,27.638237627274524,4.682640913286124,3
8,7,16,2.0,2.0,27.638237627274524,4.682640913286124,3
9,5,14,2.0,1.8,27.638237627274524,4.682640913286124,3
10,6,14,2.0,2.0,27.638237627274524,4.682640913286124,3
11,5,13,2.0,1.8,27.638237627274524,4.682640913286124,3
12,6,17,2.0,2.0,27.638237627274524,4.682640913286124,3
13,6,16,2.0,2.0,27.638237627274524,4.682640913286124,3
14,5,16,2.0,1.8,27.638237627274524,4.682640913286124,3
15,6,10,2.0,2.0,27.638237627274524,4.682640913286124,3
16,5,15,2.0,1.8,27.638237627274524,4.682640913286124,3
17,7,15,2.0,2.0,27.638237627274524,4.682640913286124,3
18,5,17,2.0,2.0,27.638237627274524,4.682640913286124,3
19,5,15,2.0,2.0,27.638237627274524,4.682640913286124,3
20,7,17,2.0,2.0,27.638237627274524,4.682640913286124,3
21,6,11,2.0,2.0,27.638237627274524,4.682640913286124,3
22,6,15,2.0,2.0,27.638237627274524,4.682640913286124,3
23,4,17,2.0,1.6,27.185358280553352,3.700523794545604,3
24,7,12,2.0,2.0,27.13228018866365,2.909436650796666,4
25,7,13,2.0,2.0,27.13228018866365,2.909436650796666,4
26,7,11,2.0,2.0,27.13228018866365,2.909436650796666,4
27,7,14,2.0,2.0,27.13228018866365,2.909436650796666,4
28,5,11,2.0,1.8,26.861955158841045,2.503838213647672,4
29,5,10,2.0,1.8,26.861955158841045,2.503838213647672,4
30,5,12,2.0,1.8,26.718190073234627,2.512382207289747,4
31,6,17,1.8,2.0,26.352054529769603,2.1180763506864717,4
32,4,16,2.0,1.6,26.27190077292178,2.3139042573595456,4
33,4,15,2.0,1.6,25.848904975095248,2.231447524128606,4
34,4,14,2.0,1.6,25.549097721100797,2.1158760313949347,4
35,5,17,1.8,1.8,25.137618334063188,1.575894272988514,4
36,8,17,2.0,2.0,24.915596402336263,6.34290033770266,4
37,5,13,1.8,1.8,24.72170487455434,1.543212239680357,4
38,5,16,1.8,1.8,24.72170487455434,1.543212239680357,4
39,5,15,1.8,1.8,24.72170487455434,1.543212239680357,4
40,5,14,1.8,1.8,24.72170487455434,1.543212239680357,4
41,5,17,1.8,2.0,24.72170487455434,1.543212239680357,4
42,6,15,1.8,2.0,24.5768111914033,1.5022592380474915,4
43,6,13,1.8,2.0,24.5768111914033,1.5022592380474915,4
44,6,16,1.8,2.0,24.5768111914033,1.5022592380474915,4
45,6,14,1.8,2.0,24.5768111914033,1.5022592380474915,4
46,6,12,1.8,2.0,24.5768111914033,1.5022592380474915,4
47,5,17,1.2,2.0,24.50071275798485,0.8505457086102688,4
48,5,17,1.2,1.8,24.39792909785367,0.7073912214648009,6
49,4,13,2.0,1.6,24.145159434113392,1.733862109930577,4
