,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,3,5,1.4,1.0,3.219432813147864,1.0143301316371185,4
1,3,6,1.4,1.0,3.219432813147864,1.0143301316371185,4
2,10,9,1.6,1.6,2.160837050779919,0.3091711305228279,19
3,4,6,1.8,1.4,1.677137066295056,1.2282090445834004,3
4,4,7,1.8,1.4,1.677137066295056,1.2282090445834004,3
5,3,9,1.6,1.2,1.4214129479356914,1.328423576283628,3
6,3,6,1.4,1.2,1.2697801154047872,1.1906329843366046,3
7,10,8,1.6,1.6,1.2330388743985343,0.1660749391223856,20
8,2,16,1.2,1.0,1.1775221817584636,0.0,1
9,2,9,1.2,1.0,1.1775221817584636,0.0,1
10,2,14,1.2,1.0,1.1775221817584636,0.0,1
11,2,10,1.2,1.0,1.1775221817584636,0.0,1
12,2,12,1.2,1.0,1.1775221817584636,0.0,1
13,2,15,1.2,1.0,1.1775221817584636,0.0,1
14,2,13,1.2,1.0,1.1775221817584636,0.0,1
15,2,11,1.2,1.0,1.1775221817584636,0.0,1
16,2,17,1.2,1.0,1.1775221817584636,0.0,1
17,14,5,2.0,1.0,1.1712717813031526,0.1131146988819539,16
18,7,5,1.0,1.4,0.6596833271579544,0.0528691181882843,29
19,4,7,2.0,1.0,0.5652777937847089,0.0,1
20,4,8,2.0,1.0,0.4678676358418674,1.005480267791434,2
21,4,7,2.0,1.4,0.4149239669904882,0.0,1
22,4,7,2.0,1.2,0.4149239669904882,0.0,1
23,3,17,1.8,1.6,0.3991494562862391,0.1782655924813599,3
24,3,16,1.8,1.6,0.3991494562862391,0.1782655924813599,3
25,3,15,1.8,1.6,0.3991494562862391,0.1782655924813599,3
26,8,7,1.0,1.4,0.3526440414703686,0.0305811779753415,32
27,3,8,1.6,1.4,0.3379949266116869,0.2502933139638871,3
28,3,8,1.6,1.2,0.3379949266116869,0.2502933139638871,3
29,3,9,1.6,1.4,0.3379949266116869,0.2502933139638871,3
30,3,5,1.4,1.2,0.3379949266116869,0.2502933139638871,3
31,6,5,1.4,2.0,0.3377014031898486,0.0592103116747047,5
32,8,10,1.4,1.4,0.3371153837644213,0.0387134729307849,22
33,3,15,1.6,1.2,0.3314504707945697,0.1892628423862726,4
34,3,11,1.6,1.2,0.3314504707945697,0.1892628423862726,4
35,3,14,1.6,1.2,0.3314504707945697,0.1892628423862726,4
36,3,10,1.6,1.2,0.3314504707945697,0.1892628423862726,4
37,3,13,1.6,1.2,0.3314504707945697,0.1892628423862726,4
38,3,12,1.6,1.2,0.3314504707945697,0.1892628423862726,4
39,3,16,1.6,1.4,0.3314504707945697,0.1892628423862726,4
40,3,17,1.6,1.2,0.3314504707945697,0.1892628423862726,4
41,3,17,1.6,1.4,0.3314504707945697,0.1892628423862726,4
42,3,16,1.6,1.2,0.3314504707945697,0.1892628423862726,4
43,4,8,2.0,1.2,0.3176608879434117,0.8829698283355232,2
44,14,5,2.0,1.2,0.2910504011967461,0.0275806773782075,16
45,8,10,1.0,1.4,0.19262566461557,0.0159101745062524,31
46,8,10,1.8,1.4,0.1868358951778463,0.0193079321191494,16
47,8,9,1.8,1.4,0.1868358951778463,0.0193079321191494,16
48,4,17,1.6,1.0,0.150358550119086,0.0271040477656242,13
49,14,7,2.0,1.0,0.139318408769345,0.0133399987395186,18
