,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
41,1,11,7,-19.924255345703294,-1.2066521113311877,142
42,1,11,8,-20.03927877072548,-1.157979234670918,136
43,1,11,9,-22.425179873798466,-1.2780222649915078,131
44,1,11,10,-27.946149519620462,-1.720185647559877,130
45,1,11,11,-27.48000675623274,-1.763778692528707,130
46,1,11,12,-24.711459577685986,-1.5914130419606554,127
47,1,11,13,-25.688274081273544,-1.6093140233448673,127
48,1,11,14,-26.986942690540026,-1.6143675168300893,123
49,1,11,15,-29.002661083528373,-1.7465779565020678,121
50,1,11,16,-30.934020575892447,-1.8424742121074091,122
51,1,11,17,-31.813802928895313,-1.8776787914195998,122
52,1,11,18,-31.38877211006713,-1.8963401299326803,119
53,1,11,19,-33.32103502403505,-1.9527819691172068,120
54,1,11,20,-32.23312689992026,-1.8306055924158062,121
55,1,11,21,-33.10780149365173,-1.8271104217324519,120
56,1,11,22,-32.9091918826035,-1.793917456722363,117
57,1,11,23,-33.475038748698815,-1.8228676391930583,118
58,1,11,24,-33.245616749229704,-1.7364488162637801,118
59,1,11,25,-30.888914475850065,-1.6826836905779516,114
60,1,11,26,-30.979337117981075,-1.6576441238364457,113
61,1,11,27,-31.41921470227987,-1.6996065038537074,114
62,1,11,28,-29.98335307105447,-1.5472397069467427,114
63,1,11,29,-30.639871379949863,-1.5640890670243393,115
64,1,11,30,-30.919493899172174,-1.5295901044260214,114
65,1,11,31,-30.113341195310927,-1.3731383632830507,114
66,1,11,32,-33.96206097711343,-1.452674609773923,112
67,1,11,33,-33.80353970362484,-1.4694523967022093,111
68,1,11,34,-34.31878243281827,-1.524866907095254,110
69,1,11,35,-34.86683284897517,-1.5017805552232337,111
70,1,11,36,-35.70080103551168,-1.594859902394938,112
71,1,11,37,-35.07755823833115,-1.686076260899843,112
72,1,11,38,-34.84999629206751,-1.638591737471984,112
73,1,11,39,-34.445833121012775,-1.6271552159937235,109
74,1,12,3,-29.286271587168457,-1.5833051398752,204
75,1,12,4,-20.30345866681948,-1.114633734296416,179
76,1,12,5,-20.38722726540028,-1.039545032229055,155
77,1,12,6,-18.464155332793876,-1.1088986175815527,144
78,1,12,7,-17.184817617980936,-1.0087771278724897,136
79,1,12,8,-19.956357240077715,-1.1097859227459677,132
80,1,12,9,-27.224491097389485,-1.6898572073428382,132
81,1,12,10,-27.685893645780112,-1.7719346015940878,131
82,1,12,11,-24.711459577685986,-1.5914130419606554,127
83,1,12,12,-25.11465774940302,-1.5876659162966378,126
84,1,12,13,-26.656708492827413,-1.6028176101663003,122
85,1,12,14,-27.431656597623665,-1.613002656359604,120
86,1,12,15,-31.310202881262363,-1.8356538883686533,122
87,1,12,16,-30.949336063085582,-1.8700214941776905,120
88,1,12,17,-33.04860325111493,-1.9773062405497717,119
89,1,12,18,-33.97104279538608,-1.9423450538269547,120
90,1,12,19,-33.34686282205219,-1.8703952782978936,117
91,1,12,20,-33.766869557155665,-1.870933521614079,118
92,1,12,21,-33.886896886499095,-1.8902013707885823,117
93,1,12,22,-34.460976979655506,-1.8618987190189904,117
94,1,12,23,-32.8750331596453,-1.7744194379912632,112
95,1,12,24,-30.613747592214306,-1.691114936012455,110
96,1,12,25,-30.792696472065035,-1.5997082752769156,113
97,1,12,26,-31.380492039066432,-1.5684177797687793,115
98,1,12,27,-30.61575878332751,-1.4190966517886707,114
99,1,12,28,-30.07398854667252,-1.4269921126393013,115
100,1,12,29,-33.76290773463279,-1.4431808631907685,111
101,1,12,30,-34.65597436587175,-1.4403613352764837,110
102,1,12,31,-35.01078231368324,-1.4068551277284143,109
103,1,12,32,-36.167362528944196,-1.5411568122655352,109
104,1,12,33,-35.76480905421526,-1.4922940862566734,110
105,1,12,34,-35.54621125781639,-1.545339401884816,110
106,1,12,35,-33.95594201969435,-1.497539522748982,109
107,1,12,36,-33.18169417692565,-1.497998989467534,109
108,1,12,37,-30.522539232959474,-1.435239630673817,109
109,1,12,38,-29.490877709734292,-1.4100387344003629,109
110,1,12,39,-24.981287774048038,-1.2264523819492315,108
111,1,13,3,-27.92698635861685,-1.6383522908530568,204
112,1,13,4,-18.375570754355124,-0.9668611881802911,171
113,1,13,5,-20.26828041580927,-1.0661162601627727,153
114,1,13,6,-20.920596171922554,-1.1848055256809256,144
115,1,13,7,-18.3940623375452,-1.0245031465236334,137
116,1,13,8,-23.277687036511466,-1.2937930162354019,133
117,1,13,9,-27.506567522571412,-1.7565538935529537,132
118,1,13,10,-26.08086092136427,-1.7004767738209159,129
119,1,13,11,-28.201317689695397,-1.8002711177832895,127
120,1,13,12,-29.2286662583544,-1.7871727426479314,122
121,1,13,13,-29.977121160337543,-1.7979146385728033,120
122,1,13,14,-31.25399333002924,-1.8488898335639246,122
123,1,13,15,-31.64203355432611,-1.9296588990912618,121
124,1,13,16,-33.44027079626519,-1.9731932736622866,118
125,1,13,17,-32.20802500113973,-1.6968243882369525,117
126,1,13,18,-32.94429379957691,-1.7173860188844963,117
127,1,13,19,-32.544427050865934,-1.7249141835215065,117
128,1,13,20,-33.16151245582173,-1.707284638060704,116
129,1,13,21,-32.65258623508215,-1.670723006369273,112
130,1,13,22,-30.14674446753623,-1.563370133356168,110
131,1,13,23,-29.680259997986834,-1.4495163505915005,112
132,1,13,24,-30.559029482691525,-1.3708476602490465,113
133,1,13,25,-30.665277081820225,-1.3767953290781465,113
134,1,13,26,-30.802699322577492,-1.2963681386066246,110
135,1,13,27,-33.81093295931286,-1.2880651836880137,108
136,1,13,28,-34.757558480832564,-1.43302557982159,108
137,1,13,29,-35.7156581415825,-1.4925117058309183,107
138,1,13,30,-34.26934627762478,-1.5603723585884934,109
139,1,13,31,-34.6193067060356,-1.5685535934876689,109
140,1,13,32,-33.64635759033217,-1.503417635067703,109
141,1,13,33,-31.70705573386874,-1.4367206692647916,108
142,1,13,34,-28.915190255653876,-1.3548823282202644,108
143,1,13,35,-23.465666910588503,-1.1596879004405485,106
144,1,13,36,-23.29292414549588,-1.1547631591294885,105
145,1,13,37,-24.505743395452892,-1.2016909879975028,107
146,1,13,38,-26.278278947721752,-1.320758760141489,110
147,1,13,39,-26.728199877145602,-1.338695856033256,109
148,1,14,3,-26.862659323502534,-1.5289681248901086,202
149,1,14,4,-19.824036222350884,-1.0843696010887356,171
150,1,14,5,-22.165303739474368,-1.1688049859948548,155
151,1,14,6,-18.700320491797857,-1.0225286356129504,139
