,ema_fast,ema_slow,end_value
0,16,28,15598.9
1,16,25,15209.0
2,9,10,14843.5
3,7,15,14724.8
4,7,10,14689.2
5,5,10,14657.7
6,8,13,14600.0
7,17,26,14518.7
8,15,26,14203.0
9,4,23,13842.5
