,ema_fast,ema_slow,annual_return
0,6,28,12.276661469563637
1,5,29,12.02064809970318
2,7,27,10.98178541325366
3,6,27,10.925668403163051
4,10,26,10.70571121178559
5,6,29,10.671733492825966
6,13,15,10.609874271697036
7,8,19,10.419208282720325
8,5,28,10.418731851256627
9,9,21,10.383601650806591
10,9,17,10.134089362401648
11,11,17,10.085890879927035
12,8,24,9.994089175827344
13,12,16,9.892343446740767
14,10,19,9.891970239774611
15,8,18,9.87950916210715
16,3,42,9.867026084225762
17,3,40,9.767537425583836
18,8,23,9.692371949123222
19,4,38,9.65538643955367
20,3,41,9.600386761189004
21,8,22,9.580880853076538
22,6,30,9.57482634110886
23,7,35,9.56657098552406
24,11,25,9.51066247488246
25,9,20,9.490590539299506
26,5,30,9.46623553583428
27,9,16,9.388756423313549
28,6,36,9.371929258841517
29,4,39,9.370613960733998
30,7,26,9.358541639318696
31,4,32,9.342289219907164
32,10,16,9.34201253132882
33,7,20,9.277315255157925
34,8,17,9.24030894184872
35,8,20,9.219463015563807
36,4,31,9.211709974344531
37,4,33,9.086208542007402
38,8,21,9.084123366928662
39,10,20,8.975894348739685
40,1,59,8.957099466143585
41,1,60,8.957099466143585
42,9,28,8.943575088434025
43,8,30,8.921783307886741
44,5,31,8.912476843829545
45,10,25,8.89404805156961
46,5,33,8.866304705395263
47,4,30,8.821874856828812
48,4,40,8.796190067084149
49,7,33,8.790288282181603
