,ema_fast,ema_slow,end_value
0,10,45,31505.0
1,11,40,31494.3
2,14,38,31438.3
3,9,47,31336.8
4,12,38,31098.0
5,9,48,31060.0
6,15,36,30921.0
7,17,32,30852.0
8,11,39,30846.0
9,12,42,30587.0
