,ema_fast,ema_slow,end_value
0,8,51,13083.0
1,8,50,12602.0
2,7,53,12446.9
3,7,54,12371.2
4,7,52,12223.7
5,5,55,11790.0
6,5,59,11721.0
7,5,58,11583.2
8,5,54,11527.9
9,12,54,11418.3
