,ema_fast,ema_slow,end_value
0,7,23,87055.0
1,7,22,81358.4
2,9,21,78047.0
3,8,21,75135.1
4,10,13,73722.2
5,7,25,73362.4
6,9,20,72150.0
7,6,51,71271.6
8,9,18,66315.1
9,24,49,65695.8
