,ema_fast,ema_slow,end_value
0,22,43,13524.3
1,18,48,13147.7
2,17,20,12857.6
3,16,21,12857.6
4,24,39,12711.2
5,16,51,12543.2
6,17,49,12543.2
7,18,19,12066.0
8,21,43,11753.6
9,17,19,10698.0
