,ema_fast,ema_slow,end_value
0,9,21,23891.4
1,14,18,22759.5
2,11,42,22610.0
3,15,17,22507.0
4,9,22,22377.0
5,9,20,22123.5
6,9,54,22113.3
7,11,43,21441.8
8,8,21,21348.9
9,13,17,21308.0
