,ema_fast,ema_slow,end_value
0,9,12,119963.9
1,10,11,118103.0
2,9,13,112362.3
3,9,11,104153.0
4,8,13,102384.0
5,8,12,96583.0
6,7,13,94866.2
7,7,14,87785.4
8,8,14,81919.9
9,9,10,80788.0
