,ema_fast,ema_slow,end_value
0,3,29,80355.0
1,3,30,79085.0
2,3,28,78322.3
3,12,17,73455.0
4,4,29,69265.3
5,7,24,69133.6
6,3,26,66912.2
7,5,25,66872.9
8,3,24,65280.0
9,3,27,65016.0
