,ema_fast,ema_slow,annual_return
0,16,37,17.11257006471402
1,22,28,17.081684231721397
2,16,38,16.90580044394794
3,22,29,16.794855289741708
4,23,27,16.77379537554365
5,17,35,16.761332169531517
6,23,30,16.735883493299642
7,19,34,16.699308595528567
8,24,26,16.685356678233955
9,21,29,16.67253951734084
10,18,35,16.67202458870736
11,15,39,16.66604950422049
12,22,31,16.665099544674586
13,15,40,16.657738179194507
14,21,32,16.572509591467764
15,23,31,16.566272363666794
16,22,32,16.566272363666794
17,24,27,16.535352199757504
18,24,30,16.53208587389515
19,18,36,16.527802286385842
20,22,30,16.517243671222374
21,18,33,16.508124301425177
22,15,38,16.48479499340734
23,18,34,16.476106587885365
24,19,32,16.459555774943986
25,24,29,16.45484297287585
26,17,37,16.424638351032545
27,23,28,16.40330067542238
28,17,36,16.3997561598298
29,20,34,16.391945226130765
30,23,26,16.386974872291276
31,24,25,16.386974872291276
32,21,30,16.385324751012735
33,18,30,16.34876667268883
34,21,31,16.337112325463416
35,18,37,16.307894532073743
36,16,36,16.303068090803734
37,19,28,16.296787108486654
38,22,27,16.291933750233927
39,21,33,16.291835612701245
40,16,33,16.282237505179832
41,19,35,16.25987688335183
42,23,25,16.256400540688784
43,20,33,16.238417260332852
44,20,31,16.18419100932714
45,20,27,16.144068720734708
46,18,31,16.134398709336363
47,16,35,16.09642849180387
48,16,39,16.08320361395398
49,19,29,16.057171080989978
