,ema_fast,ema_slow,end_value
0,7,13,77399.6
1,3,14,54976.6
2,6,14,53567.9
3,4,11,51134.5
4,3,15,48994.1
5,6,10,47065.0
6,6,12,45072.0
7,3,13,43804.0
8,3,16,42785.8
9,4,12,42722.4
