,ema_fast,ema_slow,annual_return
0,3,48,10.44974329273705
1,6,44,9.946262488709625
2,7,43,9.763946160415546
3,6,43,9.602129740536592
4,3,50,9.566091540504797
5,4,45,9.522480398266998
6,3,51,9.520833281722254
7,3,49,9.417106365672812
8,3,46,9.329092944598418
9,7,44,9.273579930872073
10,5,45,9.27223165147108
11,4,44,9.26660167977934
12,4,79,9.157200532095152
13,3,47,9.130730540854795
14,6,46,9.11953595468034
15,6,42,9.085036620247177
16,5,50,9.032094424209536
17,7,70,9.030595623091914
18,7,69,8.971756240767242
19,5,57,8.960768699433705
20,3,53,8.949820510443203
21,4,50,8.948056470226526
22,2,49,8.940538623301016
23,6,45,8.918224399314582
24,4,51,8.915870676823955
25,6,50,8.902034864244987
26,4,49,8.901233954544047
27,6,47,8.888910056151298
28,5,55,8.863843254995894
29,5,58,8.85308444781576
30,5,59,8.84641167966589
31,5,43,8.832754791169837
32,5,53,8.79292368621469
33,7,50,8.761783132182527
34,6,51,8.72525213429053
35,7,48,8.716844074036333
36,8,55,8.711507432324828
37,5,46,8.690879747791294
38,7,47,8.646530301742631
39,7,68,8.645041059279547
40,2,47,8.642426332134079
41,7,51,8.634950792503558
42,5,54,8.627247626358542
43,6,49,8.613706265552572
44,4,46,8.608992739348382
45,3,58,8.586330531748288
46,5,51,8.585832498101148
47,6,69,8.577556092827503
48,5,44,8.54554194346913
49,5,52,8.540175333456286
