,ema_fast,ema_slow,end_value
0,13,21,60935.0
1,11,26,60063.0
2,16,17,59925.6
3,15,18,59925.6
4,12,22,58213.5
5,17,53,57684.0
6,19,49,57680.0
7,12,23,57666.1
8,11,25,57620.0
9,17,54,57185.0
