,ema_fast,ema_slow,end_value
0,5,10,15663.1
1,10,35,15254.3
2,11,17,12381.1
3,13,15,12213.5
4,12,16,12072.0
5,4,12,12052.0
6,15,29,11978.4
7,17,26,11978.4
8,19,23,11901.0
9,18,24,11901.0
