,ema_fast,ema_slow,end_value
0,3,32,13684.6
1,5,59,11312.7
2,3,45,10888.0
3,8,41,10352.0
4,3,33,10284.0
5,3,48,9657.0
6,5,24,9574.0
7,3,46,9111.0
8,5,58,8998.5
9,3,31,8960.0
