,ema_fast,ema_slow,end_value
0,3,30,26383.3
1,3,29,26334.4
2,5,10,25421.5
3,4,12,24009.0
4,3,31,21143.4
5,17,27,20714.0
6,4,10,19873.3
7,24,34,19192.9
8,24,33,19192.9
9,11,17,18172.1
