,ema_fast,ema_slow,annual_return
0,11,10,21.26741552579306
1,14,10,20.4077564335556
2,13,10,19.508225887518734
3,12,11,19.508225887518734
4,12,10,19.27757767457246
5,14,11,17.61502043135043
6,13,11,17.345372805149033
7,13,12,17.279390976754225
8,15,10,17.157587003215937
9,14,12,16.53780381226903
10,15,11,15.877331610142624
11,16,10,15.54574680265026
12,17,10,14.735268522773447
13,24,18,14.155016137725724
14,23,19,13.930747225728116
15,22,20,13.203289653457508
16,23,61,12.9220900813812
17,21,64,12.87812976273127
18,21,65,12.64826436967368
19,19,68,12.5725653389275
20,24,59,12.45573303883802
21,20,66,12.454090186355064
22,24,76,12.447952147235792
23,24,20,12.438488045031873
24,20,67,12.2994043618097
25,20,68,12.2994043618097
26,24,75,12.18152706288179
27,22,63,12.144245410404684
28,16,11,12.142151486511349
29,15,12,12.106912407236582
30,23,21,12.05849754453478
31,19,69,12.049931866376864
32,19,70,12.049931866376864
33,24,58,12.024886145538712
34,23,60,11.945749501369692
35,24,57,11.920518087365584
36,20,64,11.82467391561
37,18,72,11.79180311170549
38,18,71,11.79180311170549
39,20,65,11.771046215383672
40,23,59,11.745518836961535
41,24,64,11.669718059595652
42,18,11,11.668324750202276
43,21,67,11.644500854401452
44,17,73,11.625198412590208
45,23,58,11.578922406430616
46,17,74,11.57684889478807
47,22,64,11.572250289043115
48,14,13,11.514675106645742
49,16,77,11.433892587899788
