,ema_fast,ema_slow,end_value
0,19,27,8314.4
1,13,27,8280.0
2,16,17,8137.0
3,15,18,8137.0
4,9,33,7887.3
5,11,44,7882.8
6,6,57,7839.5
7,14,19,7831.0
8,5,43,7789.7
9,7,51,7777.8
