,sma_fast,sma_slow,annual_return
0,1,10,3.5128017487176026
1,1,11,-0.7279375203435151
2,1,12,5.5204530995441505
3,1,13,1.8587708604626056
4,1,14,4.897212164434471
5,1,15,6.2556189028426665
6,1,16,-4.710294334637427
7,1,17,-2.681496815963829
8,1,18,2.093281740051501
9,1,19,-0.06747424802184783
10,1,20,-2.4961693240739296
11,1,21,-2.973315721370357
12,1,22,2.8711388598959444
13,1,23,0.4707258615892459
14,1,24,0.5027446482808988
15,1,25,3.142269561327276
16,1,26,1.539544405602125
17,1,27,0.4872682683499034
18,1,28,2.0382775691704853
19,1,29,4.285796917076866
20,1,30,7.43106439275895
21,1,31,7.371448521127697
22,1,32,10.538745132278885
23,1,33,9.597813402993749
24,1,34,6.250392248100075
25,1,35,3.9689869086619605
26,1,36,0.25478689815322775
27,1,37,5.458248570774009
28,1,38,2.481496270903139
29,1,39,2.272386590191774
30,1,40,2.226812907717756
31,1,41,-0.24554182115865694
32,1,42,-1.0558765891515756
33,1,43,-0.14388093170256072
34,1,44,-3.174342394507885
35,1,45,4.012349688067139
36,1,46,-0.690657849217584
37,1,47,-0.24514750692890405
38,1,48,-0.24958612581646375
39,1,49,0.5977464134936374
40,1,50,-0.16970272373052273
41,1,51,0.4253291513124223
42,1,52,3.233979710734182
43,1,53,-1.6798400333526242
44,1,54,-0.873088099291084
45,1,55,-0.6470809624672502
46,1,56,1.6870370596563145
47,1,57,-1.5379808920809726
48,1,58,-1.4269794827101132
49,1,59,-1.5433178776801295
50,1,60,-1.482297932579272
51,1,61,-1.482297932579272
52,1,62,-2.3903862810332974
53,1,63,-1.9529186109836152
54,1,64,-2.3011813654396054
55,1,65,-8.722531003727829
56,1,66,-1.710719636309438
57,1,67,-3.1430674205666365
58,1,68,-1.5738958126513485
59,1,69,-1.0337891859320074
60,1,70,-1.0337891859320074
61,1,71,0.36990479567613077
62,1,72,0.8589601833020383
63,1,73,1.2105583324139473
64,1,74,4.560258059831606
65,1,75,4.459263832036097
66,1,76,4.657188924433838
67,1,77,4.912422270542397
68,1,78,4.634387546671805
69,1,79,3.4268244676265533
70,1,80,4.442510274550052
71,1,81,4.727260954980491
72,1,82,4.978009161556182
73,1,83,4.180024288792595
74,1,84,2.470244368074927
75,1,85,0.2172618325320363
76,1,86,0.015899003844768545
77,1,87,-0.25363230966794265
78,1,88,0.03672268906225535
79,1,89,0.4422104193517829
80,1,90,1.4674159810449612
81,1,91,1.4674159810449612
82,1,92,-4.609004571058478
83,1,93,-1.3539190196690816
84,1,94,-1.051512071192781
85,1,95,-2.1697867293730613
86,1,96,-6.141266680685936
87,1,97,-5.751783379614084
88,1,98,-3.9628689344357664
89,1,99,-3.6362568245844655
90,1,100,-3.6172065094771466
91,1,101,-3.8096631783409793
92,1,102,-3.4070593583705984
93,1,103,-4.944147915681945
94,1,104,-8.184512664457461
95,1,105,-8.212449742633517
96,1,106,-7.350403879006956
97,1,107,-7.350403879006956
98,1,108,-7.406815853205358
99,1,109,-9.868402721805195
100,1,110,-10.97277332015062
101,1,111,-9.302893816804229
102,1,112,-9.116961926929019
103,1,113,-10.873221424387799
104,1,114,-11.102175294547127
105,1,115,-9.177706502046137
106,1,116,-9.61861885384766
107,1,117,-11.974083386224127
108,1,118,-10.484451444206883
109,1,119,-10.519831446209212
110,1,120,-9.102770503214911
111,1,121,-9.102770503214911
112,1,122,-9.489064304943994
113,1,123,-8.643072513685631
114,1,124,-8.70629509360046
115,1,125,-9.021503237036523
116,1,126,-8.3763110884907
117,1,127,-7.339666099861663
118,1,128,-7.1035922497495685
119,1,129,-6.618486436383575
120,1,130,-6.547120227271333
121,1,131,-4.051673653874331
122,1,132,-4.935651370297601
123,1,133,-4.349797946109173
124,1,134,-4.053617276633007
125,1,135,-3.962605944227086
126,1,136,-3.764755874028546
127,1,137,-3.806256192936317
