,sma_fast,sma_slow,annual_return,sqn,trades
0,1,10,-5.929083459271419,-1.7757713717962036,133
1,1,11,-2.6525816902963126,-0.7954327323317125,121
2,1,12,-1.848879731841429,-0.5412427238718946,108
3,1,13,-1.4078621534531104,-0.3408449168061341,110
4,1,14,1.9438749687748547,0.35182924039554975,98
5,1,15,6.432443518649693,1.2057728106632661,80
6,1,16,8.770747091224651,1.1978032387195152,78
7,1,17,4.468370206982686,0.7074231408304767,73
8,1,18,3.7407714455375265,0.5936368531133843,73
9,1,19,4.070695592476738,0.641855430545382,80
10,1,20,6.195300806900229,0.7383025221270837,69
11,1,21,3.57242797071878,0.5669802519700559,79
12,1,22,1.810817142683388,0.27573380526543617,76
13,1,23,4.3303416936775125,0.712972370402545,70
14,1,24,3.0416496319397837,0.4820706126785148,69
15,1,25,1.3817784667289894,0.20302412804741407,68
16,1,26,3.068822120274218,0.4539035129547222,64
17,1,27,7.400210345562276,0.9718222363707588,65
18,1,28,7.8281746033610915,0.9403817952056748,65
19,1,29,9.434832751767107,1.1362760789542166,58
20,1,30,7.786856410148289,0.8585600195747045,57
21,1,31,7.066909180449635,0.7718114630563286,62
22,1,32,10.254717003438433,1.2116709510728025,55
23,1,33,12.73712309754455,1.523049302307,52
24,1,34,14.45820457143455,1.7389289582898517,48
25,1,35,13.816555175775374,1.7933404622830962,45
26,1,36,10.438548165545617,1.2179566291360564,53
27,1,37,17.239840233402752,2.1268708903617943,49
28,1,38,14.905685226150597,1.9133811372128444,55
29,1,39,5.536538614238104,0.7078606786239564,55
30,1,40,8.47543041479066,1.1028304636027961,50
31,1,41,3.7223228072625467,0.6515964207103323,50
32,1,42,7.453334272310601,1.2299965176455523,46
33,1,43,5.867934439002047,1.0125261003136732,44
34,1,44,5.9256927001431325,0.9382937377205997,45
35,1,45,4.771808352216144,0.7649809648614733,46
36,1,46,1.735528650107095,0.2969684395779038,47
37,1,47,0.9222814163007895,0.1531614464523824,46
38,1,48,2.1854840689733526,0.3799164657242841,39
39,1,49,3.047310828153808,0.5269355740738548,39
40,1,50,1.1406134239025372,0.21901373217957398,35
41,1,51,0.3452150054301376,0.09364031652021386,38
42,1,52,1.6181442030206488,0.2692652787519612,39
43,1,53,4.41847575044588,0.6723813548106132,37
44,1,54,0.36917310436042405,0.0994455295861485,33
45,1,55,-1.7849140659457412,-0.5763051941666089,32
46,1,56,-1.5784190127260962,-0.41288608945627625,42
47,1,57,-3.481358312229272,-1.1287592518764498,37
48,1,58,-0.8318167641457266,-0.22686445008630662,37
49,1,59,-0.4908256018236102,-0.13044877574536107,34
50,1,60,-0.9728202769252539,-0.2548026221565841,38
51,1,61,-0.04545268800107122,-0.011909204101770777,35
52,1,62,-1.99118162491875,-0.5445209080417996,42
53,1,63,-2.6451878943290406,-0.8423320391650111,40
54,1,64,-2.059484871321148,-0.6889480193294463,40
55,1,65,-2.8057636290152437,-0.868714252603152,39
56,1,66,-0.5451678315033176,-0.1428798432162558,40
57,1,67,-1.9534347105377485,-0.5155262101271894,39
58,1,68,0.12906313106103082,0.028974639295945716,38
59,1,69,10.505176429996402,1.0179261493380145,27
60,1,70,6.477520000677539,0.535312275377675,30
61,1,71,7.581455593353457,0.6663152145522997,29
62,1,72,6.841577010530727,0.5926465525532278,33
63,1,73,5.036110730752308,0.40825670186532037,32
64,1,74,6.439424536909725,0.5419710166064724,33
65,1,75,8.028629505407208,0.711778103375604,31
66,1,76,8.619104264158763,0.7825829597051573,29
67,1,77,6.550011210186711,0.5508562375957635,35
68,1,78,9.480276042339804,0.8797513964409186,33
69,1,79,8.640742715764889,0.7771134655118276,35
70,1,80,9.88322423994221,0.9291478099115977,33
71,1,81,8.79395092075568,0.7944784420067381,32
72,1,82,10.431002205175439,0.9999105412480674,28
73,1,83,10.61876597453195,0.9724603830677339,33
74,1,84,9.786142162772144,0.8776119368588298,32
75,1,85,11.795442776880222,1.1154959943034732,27
76,1,86,10.510421803100895,0.9577316979869472,29
77,1,87,10.547078896177801,0.9577444735329116,29
78,1,88,10.147579230631493,0.9052654606664468,30
79,1,89,10.118012640667581,0.9171372361635329,29
80,1,90,8.599975968441512,0.7404916694257633,33
81,1,91,9.305885509990427,0.8194454979925012,32
82,1,92,11.762735148359132,1.1156544566572753,28
83,1,93,13.006060782991275,1.2613993465521207,28
84,1,94,12.02254682376199,1.1322493412101926,28
85,1,95,12.689194749065186,1.215824303024441,27
86,1,96,11.335904324518168,1.044851272587183,28
87,1,97,10.084449550186632,1.0098207565170456,30
88,1,98,9.790367462390165,0.9655182675028589,32
89,1,99,10.440346417118795,1.0432962461681745,31
90,1,100,10.531883382023272,1.0683897919025582,29
91,1,101,10.904489054013899,1.1105633583462433,26
92,1,102,9.590036082352677,0.9439513798283685,30
93,1,103,11.635121796004302,1.2269943151675762,28
94,1,104,8.951802128514768,0.8794469185003324,30
95,1,105,10.141089365908988,1.0444845163573953,27
96,1,106,10.65195215293224,1.1220332981948526,24
97,1,107,10.25688092563826,1.047254629924395,29
98,1,108,11.804184576426765,1.262611384883079,24
99,1,109,11.774548039135487,1.2529076890744584,23
100,1,110,12.22702797857526,1.3187643496591033,24
101,1,111,10.427230751230383,1.0621305961332008,24
102,1,112,11.614487702470031,1.228887944494807,24
103,1,113,11.583771154121541,1.2252596711913528,24
104,1,114,11.675225247034053,1.2416699417274852,22
105,1,115,10.70660166654457,1.1158050566832045,22
106,1,116,11.76238649242842,1.2120898135606235,24
107,1,117,11.970892029721936,1.2481129300247171,22
108,1,118,12.443622970086587,1.3011306620539376,22
