,sma_fast,sma_slow,annual_return
0,1,10,-6.182898049715931
1,1,11,-2.3409998721849847
2,1,12,-6.24435606022427
3,1,13,-4.023097242588671
4,1,14,-3.151365161090541
5,1,15,-4.923385412403292
6,1,16,-0.5572424115346342
7,1,17,-0.8699611575040703
8,1,18,-4.965283302754766
9,1,19,0.8484390955235359
10,1,20,2.62900626281386
11,1,21,-1.5848743400047303
12,1,22,0.23777142008152824
13,1,23,1.084138772414279
14,1,24,4.474457678365497
15,1,25,3.1441244037256797
16,1,26,3.432691024595105
17,1,27,9.441812244901943
18,1,28,5.626758821064906
19,1,29,9.053305958842483
20,1,30,10.578678105394973
21,1,31,9.48568673730604
22,1,32,8.86741111471404
23,1,33,3.6510397345712144
24,1,34,5.601850299974416
25,1,35,3.742809324950587
26,1,36,-2.264788141462002
27,1,37,0.904211508823695
28,1,38,1.680438118998774
29,1,39,5.302950514004582
30,1,40,4.4070760613082305
31,1,41,4.178169976531352
32,1,42,3.427046541585072
33,1,43,3.9503783957760987
34,1,44,2.7502177855269845
35,1,45,3.154085237472852
36,1,46,5.071417520610953
37,1,47,7.270777825754959
38,1,48,7.010586216892585
39,1,49,7.415538881177547
40,1,50,7.085815957271829
41,1,51,7.389297265084823
42,1,52,7.194447481451288
43,1,53,6.136319673870166
44,1,54,6.101336569367724
45,1,55,6.532558354828208
46,1,56,5.055935463589142
47,1,57,5.479234892879216
48,1,58,5.6444639100251575
49,1,59,4.945248219587863
50,1,60,5.390433947744265
51,1,61,4.9266629818897965
52,1,62,5.693307672927418
53,1,63,5.856444232035402
54,1,64,8.529637847215323
55,1,65,8.21183162446896
56,1,66,8.21183162446896
57,1,67,9.138763056544747
58,1,68,7.3938972578789866
59,1,69,7.020344212374137
60,1,70,8.815284197505656
61,1,71,3.961906128980034
62,1,72,3.2498121666583493
63,1,73,9.066323857219869
64,1,74,9.066323857219869
65,1,75,8.097655824086214
66,1,76,7.8074791882245895
67,1,77,6.829740517672646
68,1,78,5.60872962391603
69,1,79,5.904725458653722
70,1,80,5.624835483398138
71,1,81,4.224353779197964
72,1,82,4.7645582096471255
73,1,83,3.2157289489734135
74,1,84,2.186796419838052
75,1,85,3.67945949838627
76,1,86,5.561460263409124
77,1,87,5.816092354530459
78,1,88,5.613953726054201
79,1,89,2.918740587820372
80,1,90,8.72491061832186
81,1,91,8.910483215466652
