,sma_fast,sma_slow,annual_return
0,1,10,-2.2392246869310792
1,1,11,-2.5881506773840246
2,1,12,-0.9799118566139169
3,1,13,-1.0424710178249985
4,1,14,15.824153448686396
5,1,15,18.005457997548337
6,1,16,11.215510876162124
7,1,17,-2.0390744694250365
8,1,18,-2.1740922283738855
9,1,19,-0.07210883454289642
10,1,20,-1.073476115469924
11,1,21,-14.526596032049069
12,1,22,0.46193699370329433
13,1,23,4.559635490573404
14,1,24,17.543509444073923
15,1,25,14.397843296204634
16,1,26,12.482003274204654
17,1,27,12.546921543917783
18,1,28,17.066759733634058
19,1,29,30.102289702535895
20,1,30,28.654214472138072
21,1,31,22.18308037465373
22,1,32,23.633586287441354
23,1,33,20.94697305867481
24,1,34,25.33506127466973
25,1,35,24.8903996539012
26,1,36,14.231563355070667
27,1,37,14.640652600063822
28,1,38,13.398179034000957
29,1,39,12.441320258629014
30,1,40,9.968103194572164
31,1,41,11.177216533927723
32,1,42,11.569605927096541
33,1,43,10.887008558660309
34,1,44,12.498662852151888
35,1,45,10.584925753656318
36,1,46,10.177294943762284
37,1,47,10.820113672560796
38,1,48,10.34091680833656
39,1,49,10.873870911432853
40,1,50,12.208802113815663
41,1,51,11.927183098371524
42,1,52,1.5531738336674543
43,1,53,-9.681677276500853
44,1,54,-6.510332432989904
45,1,55,-12.882757102527687
46,1,56,-14.431792680153096
47,1,57,-16.060429506529516
48,1,58,-15.019493437357182
49,1,59,-14.77352482601253
50,1,60,-15.230151164167847
51,1,61,-5.033967696374102
52,1,62,-6.406996480590421
53,1,63,-3.0605315744048918
54,1,64,-2.9707714026121086
55,1,65,-4.9063302978886805
56,1,66,-2.70803780371688
57,1,67,-2.70803780371688
58,1,68,-3.118716766291996
59,1,69,-1.5191989368250387
60,1,70,5.1222512321140234
61,1,71,-8.351749332641747
62,1,72,-9.855414460173225
63,1,73,-10.634207013520875
64,1,74,-10.418894529237113
65,1,75,-15.38427548416063
66,1,76,-14.951053216197938
67,1,77,-14.489388148439158
68,1,78,-14.489388148439158
69,1,79,-6.6972116761989025
70,1,80,-5.295490401045709
71,1,81,0.7991518104631165
72,1,82,-6.39873981743464
73,1,83,-7.011481067627626
74,1,84,-6.78923173265993
75,1,85,-6.373062368975968
76,1,86,-14.281098171760522
77,1,87,-14.056518981866992
78,1,88,-13.773856377061048
79,1,89,-4.691802527703591
80,1,90,-4.673814753504661
81,1,91,-4.433431745125758
82,1,92,-4.433431745125758
83,1,93,-4.839201324462083
84,1,94,-5.225203348921434
85,1,95,-5.159052210394897
86,1,96,-4.706192047188683
87,1,97,-3.436383768000272
88,1,98,-4.434655331396777
89,1,99,-5.219332118201564
90,1,100,-5.506932406475127
91,1,101,-6.040389301952182
92,1,102,-7.187121974068855
93,1,103,-7.4206602251470795
94,1,104,-8.327443456732416
95,1,105,-8.47633559339387
96,1,106,-8.47633559339387
97,1,107,-9.078053415852379
98,1,108,-9.538217400691055
99,1,109,-9.310948420235167
100,1,110,-9.384253702066001
101,1,111,-9.973207661731598
102,1,112,-9.787825157015922
103,1,113,-9.787825157015922
104,1,114,-9.787825157015922
105,1,115,-9.232602813711875
106,1,116,-10.398102330059352
107,1,117,-10.502690964118973
108,1,118,-10.550178803129558
109,1,119,-10.43762633707852
110,1,120,-10.57243330168066
111,1,121,-12.264630465771848
112,1,122,-11.091717271104967
113,1,123,-10.022080191266394
114,1,124,-9.059617180136105
115,1,125,-9.351745823375682
116,1,126,-7.572164441674091
117,1,127,-6.973526812794918
118,1,128,-7.205672944038681
119,1,129,-6.743058636376163
120,1,130,-6.856773611795558
121,1,131,-6.546254158353504
122,1,132,-5.2563663901497595
123,1,133,-5.297823951873254
124,1,134,-4.772295521381184
125,1,135,-5.37056661643098
126,1,136,-4.696633459608983
127,1,137,-3.986283523965538
128,1,138,-8.23174200728285
129,1,139,-8.23174200728285
130,1,140,-8.359733446238765
131,1,141,-8.506477592457722
132,1,142,-4.876002671499516
133,1,143,-5.014900305426105
134,1,144,-3.0100219361966083
135,1,145,-3.0100219361966083
136,1,146,-3.3911438185949327
137,1,147,-3.021272261940488
138,1,148,-2.5174455974997394
139,1,149,-2.5174455974997394
140,2,10,-15.257413301153225
141,2,11,-8.543414055433047
142,2,12,0.5410618800988539
143,2,13,6.206435396117021
144,2,14,11.870624290138016
145,2,15,4.349024409122865
146,2,16,4.40025589616047
147,2,17,1.5807437975462377
148,2,18,4.674079430115527
149,2,19,1.5215595526449386
150,2,20,-0.42383198970159874
151,2,21,0.5074460543180093
152,2,22,1.508997498362583
153,2,23,5.683621186077621
154,2,24,7.680616393599796
155,2,25,4.3894039765905255
156,2,26,-4.522396631599776
157,2,27,15.564008150437683
158,2,28,15.123158197345479
159,2,29,21.38767319233861
160,2,30,24.04179610086573
161,2,31,27.575772218522467
162,2,32,21.662038514019372
163,2,33,16.402976689220278
164,2,34,23.289573308311752
165,2,35,20.77326501239091
166,2,36,12.71220122717757
